TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-07-22,81.3,82.9,81.15,82.7,167508
2022-07-25,82.45,84.2,82.35,84,241683
2022-07-26,84,86.5,84,86.35,299656
2022-07-27,86.9,87.75,86.2,86.85,305957
2022-07-28,87.1,87.5,85.65,86.5,185551
2022-07-29,86.6,87.55,86.1,87.55,211942
2022-08-01,87.25,87.8,86,86.4,197340
2022-08-02,86.35,86.35,84.3,84.55,218857
2022-08-03,84.25,85.2,83.8,84.1,326326
2022-08-04,84.25,84.4,83.45,83.75,150296
2022-08-05,83.95,84.1,81.1,81.4,308662
2022-08-08,81.75,84,81.45,82.75,170119
2022-08-09,82.75,84.5,82,84.45,223381
2022-08-10,85,85.6,84.35,85.1,439044
2022-08-11,85.15,86.1,84.25,84.45,477950
2022-08-12,84.85,85.15,84,85.1,145350
2022-08-15,85.4,85.9,84.75,85.75,203727
2022-08-16,85.75,87.45,85.55,87.4,209014
2022-08-17,87.5,88.2,86.6,86.9,245322
2022-08-18,86.9,87,86.15,86.9,157507
2022-08-19,87,87.25,86.2,86.75,116307
2022-08-22,86.5,88.4,86.5,88,358285
2022-08-23,88,89.55,87.8,89.55,187081
2022-08-24,89.8,90,88.85,88.9,176084
2022-08-25,89.4,89.75,88.5,89,152952
2022-08-26,89.3,89.65,88.6,89.65,128602
2022-08-29,89.95,90.9,89.65,90.8,292236
2022-08-30,90.8,91.7,90.8,91.15,242194
2022-08-31,92.15,96,92,94.5,834380
2022-09-01,94.5,97,94.2,96.75,365758
2022-09-02,97.5,98.1,96.45,97.75,379049
2022-09-05,98,98.5,96.6,98.35,438266
2022-09-06,98.95,98.95,94.2,96.3,746388
2022-09-07,96.25,96.65,94.9,95.35,309610
2022-09-08,95.3,95.75,94,94.7,500100
2022-09-09,94.4,96.1,94.2,95.95,235854
2022-09-12,95.95,97.6,94.35,96.85,566333
2022-09-13,96.9,97.6,96.45,96.95,239691
2022-09-14,96.85,96.85,95.1,96.4,270660
2022-09-15,96.55,97.3,95.8,96.85,278407
2022-09-16,97.25,97.85,96.15,96.4,456468
2022-09-19,96.4,97.2,95.95,96.5,227098
2022-09-20,96.5,97.2,85.5,88.15,831549
2022-09-21,83,88.1,79.7,84.8,745452
2022-09-22,84.9,87.75,84.8,86.75,387418
2022-09-23,86.95,87.25,81.9,82.75,446158
2022-09-26,81.75,82.75,72.1,74.45,2124145
2022-09-27,74.7,78.55,74.6,78.25,322840
2022-09-28,77.55,79.7,76.6,78.15,495055
2022-09-29,79,79.05,75.7,77.55,355693
2022-09-30,77.15,79.7,75.5,78.8,449955
2022-10-03,79,82.05,78.1,82,403951
2022-10-04,82.7,82.7,80,81.25,409974
2022-10-05,80.1,81.5,78.2,80.5,496760
2022-10-06,80.5,81.7,79.9,79.9,199476
2022-10-07,80.2,80.2,76.05,76.15,251245
2022-10-10,74.25,79.85,73.5,79.55,519755
2022-10-11,79.8,81.5,79.25,81.3,219825
2022-10-12,80.85,81.6,80.1,80.6,324322
2022-10-13,80.6,81.7,80.35,81.05,116873
2022-10-14,81.05,82.05,79.9,80.9,148031
2022-10-17,82,83.55,79.95,83.3,207077
2022-10-18,84,84.5,82,82.55,254056
2022-10-19,82.8,83.1,81,82.1,294116
2022-10-20,82.3,83.7,82.2,83.25,288341
2022-10-21,83.3,84.85,82.5,84.85,192079
2022-10-24,85,86.1,84.5,85.05,612253
2022-10-25,85.4,87.8,84.95,87.75,347662
2022-10-26,87.9,88.35,86.2,87.6,373906
2022-10-27,87,89.25,87,89.05,268868
2022-10-28,88.8,89.35,87.7,89.15,579660
2022-10-31,89.1,90.1,88.8,89.4,242643
2022-11-01,89.4,89.9,88.95,89.55,204618
2022-11-02,89.3,89.85,87.95,88.4,137097
2022-11-03,88.3,88.95,87.25,88.75,153644
2022-11-07,88.75,90.95,88.75,90.9,210070
2022-11-08,90.95,91.4,90.05,90.75,284411
2022-11-09,90.5,91,88.45,88.75,231213
2022-11-10,88.95,91,88.7,90.8,246567
2022-11-11,91.8,91.8,90.65,91.55,403268
2022-11-14,91.3,92.55,91.05,92.15,167360
2022-11-15,92.2,92.7,87.2,89.45,645087
2022-11-16,90.05,91.7,89.7,91.35,204200
2022-11-17,91.45,91.7,90.3,90.95,156591
2022-11-18,90.95,91.15,89.9,90.4,198079
2022-11-21,90.2,90.5,88.55,89.5,174853
2022-11-22,89.9,90.3,89,90.05,190541
2022-11-23,90.9,90.95,89.4,90.8,128744
2022-11-24,90.8,91.2,90.4,90.7,132333
2022-11-25,91.15,91.15,89.9,90.25,243882
2022-11-28,90.2,90.3,89.05,89.4,149486
2022-11-29,89.65,90.1,89.55,89.8,76197
2022-11-30,89.5,89.9,89.3,89.85,166032
2022-12-01,89.8,90.2,89.5,90,127592
2022-12-02,90.2,90.2,89.35,89.6,230566
2022-12-05,89.45,90.75,89.25,90.55,198425
2022-12-06,90.5,90.8,89.6,89.85,228191
