open,close,high,low,value,volume,begin,end,end_time,time_diff
91.6,91.75,91.95,91.6,1182450.8500000003,12877,2023-01-03 11:00:00,2023-01-03 11:59:59,11:59:59,0 days 00:00:01
91.95,92.0,92.05,91.95,417478.14999999985,4537,2023-01-04 11:00:00,2023-01-04 11:59:59,11:59:59,0 days 00:00:01
91.45,91.3,91.45,91.0,1951529.2500000002,21418,2023-01-05 11:00:00,2023-01-05 11:59:59,11:59:59,0 days 00:00:01
91.25,91.25,91.35,91.15,1715749.85,18794,2023-01-06 11:00:00,2023-01-06 11:59:59,11:59:59,0 days 00:00:01
91.65,91.65,91.7,91.55,1396036.1000000008,15230,2023-01-09 11:00:00,2023-01-09 11:59:59,11:59:59,0 days 00:00:01
90.8,90.9,90.9,90.6,1151272.7500000002,12685,2023-01-10 11:00:00,2023-01-10 11:59:59,11:59:59,0 days 00:00:01
91.45,91.85,92.0,91.45,3406190.950000001,37096,2023-01-11 11:00:00,2023-01-11 11:59:02,11:59:02,0 days 00:00:58
92.1,92.3,92.35,92.1,747533.4000000001,8107,2023-01-12 11:00:00,2023-01-12 11:59:07,11:59:07,0 days 00:00:53
92.4,92.55,92.55,92.3,1225343.6500000001,13258,2023-01-13 11:00:00,2023-01-13 11:59:59,11:59:59,0 days 00:00:01
93.85,93.8,93.85,93.7,2652221.05,28277,2023-01-16 11:00:00,2023-01-16 11:59:59,11:59:59,0 days 00:00:01
93.65,93.25,93.7,93.2,3114493.5500000003,33351,2023-01-17 11:00:00,2023-01-17 11:59:59,11:59:59,0 days 00:00:01
92.95,93.1,93.15,92.85,1388026.050000001,14922,2023-01-18 11:00:00,2023-01-18 11:59:59,11:59:59,0 days 00:00:01
92.35,91.9,92.55,91.8,3829048.5499999993,41534,2023-01-19 11:00:00,2023-01-19 11:59:59,11:59:59,0 days 00:00:01
91.5,91.7,91.7,91.45,1097098.35,11977,2023-01-20 11:00:00,2023-01-20 11:59:59,11:59:59,0 days 00:00:01
92.3,92.15,92.35,92.05,994909.5500000003,10794,2023-01-23 11:00:00,2023-01-23 11:59:59,11:59:59,0 days 00:00:01
92.95,92.9,93.05,92.85,1660056.25,17864,2023-01-24 11:00:00,2023-01-24 11:59:59,11:59:59,0 days 00:00:01
91.9,91.6,91.95,91.6,1704328.8,18574,2023-01-25 11:00:00,2023-01-25 11:59:59,11:59:59,0 days 00:00:01
92.3,92.35,92.45,92.25,1186385.3000000003,12849,2023-01-26 11:00:00,2023-01-26 11:59:59,11:59:59,0 days 00:00:01
92.05,92.0,92.15,91.85,2735352.000000001,29736,2023-01-27 11:00:00,2023-01-27 11:59:59,11:59:59,0 days 00:00:01
92.5,92.6,92.8,92.5,4734133.65,51090,2023-01-30 11:00:00,2023-01-30 11:59:59,11:59:59,0 days 00:00:01
93.75,93.65,93.85,93.65,5655391.250000002,60295,2023-01-31 11:00:00,2023-01-31 11:59:59,11:59:59,0 days 00:00:01
94.65,95.0,95.1,94.65,3074665.0,32401,2023-02-01 11:00:00,2023-02-01 11:59:59,11:59:59,0 days 00:00:01
94.45,94.45,94.65,94.3,2476330.1500000004,26222,2023-02-02 11:00:00,2023-02-02 11:59:59,11:59:59,0 days 00:00:01
94.2,94.3,94.35,94.1,1106464.7000000004,11738,2023-02-03 11:00:00,2023-02-03 11:59:59,11:59:59,0 days 00:00:01
95.55,95.65,95.7,95.35,2373964.5,24853,2023-02-06 11:00:00,2023-02-06 11:59:59,11:59:59,0 days 00:00:01
96.15,96.35,96.45,95.9,3438671.5999999996,35734,2023-02-07 11:00:00,2023-02-07 11:59:59,11:59:59,0 days 00:00:01
96.4,96.6,96.6,96.3,2018604.3000000005,20918,2023-02-08 11:00:00,2023-02-08 11:59:59,11:59:59,0 days 00:00:01
95.35,95.05,95.5,94.8,1536409.25,16155,2023-02-09 11:00:00,2023-02-09 11:59:07,11:59:07,0 days 00:00:53
95.5,95.35,95.6,95.15,1438981.6999999997,15094,2023-02-10 11:00:00,2023-02-10 11:59:59,11:59:59,0 days 00:00:01
96.05,95.9,96.15,95.75,2538491.450000001,26443,2023-02-13 11:00:00,2023-02-13 11:59:59,11:59:59,0 days 00:00:01
94.55,94.65,94.75,94.3,2437110.15,25763,2023-02-14 11:00:00,2023-02-14 11:59:59,11:59:59,0 days 00:00:01
93.15,92.95,93.25,92.65,4528000.250000001,48737,2023-02-15 11:00:00,2023-02-15 11:59:59,11:59:59,0 days 00:00:01
92.15,92.45,92.5,92.15,2481744.4,26868,2023-02-16 11:00:00,2023-02-16 11:59:59,11:59:59,0 days 00:00:01
91.75,91.85,91.85,91.45,1870009.9,20412,2023-02-17 11:00:00,2023-02-17 11:59:59,11:59:59,0 days 00:00:01
91.25,90.55,91.3,90.55,4580491.899999999,50442,2023-02-20 11:00:00,2023-02-20 11:59:59,11:59:59,0 days 00:00:01
92.75,92.95,93.1,92.55,10196433.200000001,109710,2023-02-21 11:00:00,2023-02-21 11:59:59,11:59:59,0 days 00:00:01
93.05,93.25,93.3,92.95,1645930.95,17671,2023-02-22 11:00:00,2023-02-22 11:59:59,11:59:59,0 days 00:00:01
93.85,93.8,94.0,93.75,678447.6000000001,7226,2023-02-24 11:00:00,2023-02-24 11:59:59,11:59:59,0 days 00:00:01
94.0,94.0,94.15,93.95,1391677.9999999998,14792,2023-02-27 11:00:00,2023-02-27 11:59:59,11:59:59,0 days 00:00:01
94.85,95.15,95.2,94.7,1557314.35,16382,2023-02-28 11:00:00,2023-02-28 11:59:59,11:59:59,0 days 00:00:01
96.0,96.4,96.45,96.0,3349773.7500000005,34799,2023-03-01 11:00:00,2023-03-01 11:59:59,11:59:59,0 days 00:00:01
96.5,96.45,96.5,96.4,884416.2500000001,9170,2023-03-02 11:00:00,2023-03-02 11:59:59,11:59:59,0 days 00:00:01
95.5,95.85,96.1,95.45,3288227.4000000004,34317,2023-03-03 11:00:00,2023-03-03 11:59:59,11:59:59,0 days 00:00:01
96.75,96.85,96.95,96.75,2052226.0000000002,21188,2023-03-06 11:00:00,2023-03-06 11:59:59,11:59:59,0 days 00:00:01
96.75,96.75,96.95,96.7,3028688.049999999,31275,2023-03-07 11:00:00,2023-03-07 11:59:59,11:59:59,0 days 00:00:01
96.85,96.65,97.05,96.6,2811467.25,29049,2023-03-09 11:00:00,2023-03-09 11:59:59,11:59:59,0 days 00:00:01
96.15,96.4,96.5,96.15,1230274.1499999997,12773,2023-03-10 11:00:00,2023-03-10 11:59:59,11:59:59,0 days 00:00:01
96.7,96.7,96.8,96.6,1331000.7499999995,13764,2023-03-13 11:00:00,2023-03-13 11:59:59,11:59:59,0 days 00:00:01
96.25,96.3,96.3,96.05,1284245.0,13351,2023-03-14 11:00:00,2023-03-14 11:59:59,11:59:59,0 days 00:00:01
96.85,96.8,96.85,96.6,1701562.9000000004,17591,2023-03-15 11:00:00,2023-03-15 11:59:59,11:59:59,0 days 00:00:01
95.95,95.5,95.95,95.5,1969082.7000000002,20570,2023-03-16 11:00:00,2023-03-16 11:59:59,11:59:59,0 days 00:00:01
96.4,96.85,96.95,96.35,4863189.1,50312,2023-03-17 11:00:00,2023-03-17 11:59:59,11:59:59,0 days 00:00:01
99.45,99.95,100.05,99.3,4031781.3,40443,2023-03-20 11:00:00,2023-03-20 11:59:59,11:59:59,0 days 00:00:01
101.35,101.8,101.9,101.25,5950476.750000002,58535,2023-03-21 11:00:00,2023-03-21 11:59:59,11:59:59,0 days 00:00:01
100.85,100.6,100.9,100.5,1335644.1500000004,13260,2023-03-22 11:00:00,2023-03-22 11:59:02,11:59:02,0 days 00:00:58
101.25,101.05,101.25,100.8,9468929.699999997,93700,2023-03-23 11:00:00,2023-03-23 11:59:59,11:59:59,0 days 00:00:01
101.3,100.9,101.35,100.75,2346274.050000001,23226,2023-03-24 11:00:00,2023-03-24 11:59:59,11:59:59,0 days 00:00:01
102.3,102.2,102.3,102.05,2268541.099999999,22199,2023-03-27 11:00:00,2023-03-27 11:59:59,11:59:59,0 days 00:00:01
103.05,102.6,103.1,102.45,3032249.7000000007,29493,2023-03-28 11:00:00,2023-03-28 11:59:59,11:59:59,0 days 00:00:01
