open,close,high,low,value,volume,begin,end
129.85,130.0,130.0,129.75,2251770.55,17346,2025-11-13 18:00:00,2025-11-13 18:48:03
130.05,130.0,130.2,129.9,1571444.8500000003,12078,2025-11-13 19:00:00,2025-11-13 19:59:59
130.0,130.3,130.3,129.9,846916.8500000001,6509,2025-11-13 20:00:00,2025-11-13 20:59:59
130.35,130.25,130.6,130.1,3680500.5,28226,2025-11-13 21:00:00,2025-11-13 21:59:59
130.25,130.0,130.3,129.95,3418301.3999999994,26278,2025-11-13 22:00:00,2025-11-13 22:58:07
130.0,130.05,130.15,129.9,7735703.75,59528,2025-11-13 23:00:00,2025-11-13 23:59:57
130.05,130.05,130.05,130.05,10664.1,82,2025-11-14 09:00:00,2025-11-14 09:59:59
130.5,129.75,130.55,129.7,3534026.5999999996,27160,2025-11-14 10:00:00,2025-11-14 10:59:59
129.7,129.5,129.75,129.15,17051799.05,131739,2025-11-14 11:00:00,2025-11-14 11:59:59
129.35,129.35,129.55,129.15,16827743.4,130106,2025-11-14 12:00:00,2025-11-14 12:59:59
129.3,129.2,129.35,129.05,3369361.5500000007,26065,2025-11-14 13:00:00,2025-11-14 13:59:59
129.25,128.9,129.3,128.85,13367643.4,103597,2025-11-14 14:00:00,2025-11-14 14:59:59
128.95,129.05,129.2,128.85,27234673.699999988,211136,2025-11-14 15:00:00,2025-11-14 15:59:59
129.1,128.7,129.1,128.6,5116994.199999999,39740,2025-11-14 16:00:00,2025-11-14 16:59:59
128.65,128.9,128.95,128.65,4606571.75,35771,2025-11-14 17:00:00,2025-11-14 17:59:59
128.85,129.0,129.0,128.8,4357201.55,33783,2025-11-14 18:00:00,2025-11-14 18:52:22
129.0,129.1,129.1,128.65,2607889.4999999995,20213,2025-11-14 19:00:00,2025-11-14 19:59:59
129.1,129.1,129.15,129.05,499909.1499999999,3872,2025-11-14 20:00:00,2025-11-14 20:59:59
129.1,128.95,129.1,128.95,1073017.1499999997,8317,2025-11-14 21:00:00,2025-11-14 21:59:59
129.0,129.45,129.6,129.0,4408938.0,34097,2025-11-14 22:00:00,2025-11-14 22:59:59
129.55,129.7,129.9,129.3,24271339.05,187109,2025-11-14 23:00:00,2025-11-14 23:59:57
127.7,127.7,127.7,127.7,869509.3000000002,6809,2025-11-17 09:00:00,2025-11-17 09:59:59
127.6,128.45,128.6,127.6,21051316.200000007,164451,2025-11-17 10:00:00,2025-11-17 10:59:59
128.45,128.75,128.9,128.4,18962706.8,147328,2025-11-17 11:00:00,2025-11-17 11:59:59
128.75,128.95,128.95,128.6,9971363.700000005,77374,2025-11-17 12:00:00,2025-11-17 12:59:59
128.95,128.75,129.0,128.5,4579046.5,35564,2025-11-17 13:00:00,2025-11-17 13:59:59
128.8,128.55,128.85,128.35,15722258.500000002,122120,2025-11-17 14:00:00,2025-11-17 14:59:59
128.6,128.4,128.6,128.35,23375993.750000004,181985,2025-11-17 15:00:00,2025-11-17 15:59:59
128.45,128.5,128.6,128.15,1874984.5000000002,14609,2025-11-17 16:00:00,2025-11-17 16:59:59
128.6,128.55,128.7,128.45,4644768.8,36127,2025-11-17 17:00:00,2025-11-17 17:59:59
128.55,128.6,128.65,128.45,1682253.2499999998,13086,2025-11-17 18:00:00,2025-11-17 18:48:07
128.6,128.55,128.65,128.5,1269730.3499999996,9874,2025-11-17 19:00:00,2025-11-17 19:59:59
128.55,128.3,128.55,127.95,34505453.35000001,269167,2025-11-17 20:00:00,2025-11-17 20:59:59
128.3,128.0,128.3,127.95,6843002.049999997,53433,2025-11-17 21:00:00,2025-11-17 21:59:59
128.0,127.95,128.05,127.95,1624625.0,12693,2025-11-17 22:00:00,2025-11-17 22:59:03
