open,close,high,low,value,volume,begin,end
148.35,148.35,148.35,148.35,18543.75,125,2025-09-10 09:59:00,2025-09-10 09:59:59
148.35,147.75,148.45,147.5,5838924.85,39527,2025-09-10 10:00:00,2025-09-10 10:00:59
147.85,147.85,147.85,147.8,255472.34999999998,1728,2025-09-10 10:01:00,2025-09-10 10:01:59
147.8,147.9,147.9,147.8,649406.5999999997,4393,2025-09-10 10:02:00,2025-09-10 10:02:59
147.9,147.9,147.9,147.9,114178.79999999999,772,2025-09-10 10:03:00,2025-09-10 10:03:59
147.9,148.0,148.0,147.8,149815.80000000002,1013,2025-09-10 10:04:00,2025-09-10 10:04:59
147.95,148.0,148.0,147.95,159523.9,1078,2025-09-10 10:05:00,2025-09-10 10:05:59
147.95,148.0,148.0,147.8,534205.45,3613,2025-09-10 10:06:00,2025-09-10 10:06:59
148.0,148.2,148.2,148.0,15107.400000000001,102,2025-09-10 10:07:00,2025-09-10 10:07:59
148.2,148.2,148.2,148.15,699503.9,4720,2025-09-10 10:09:00,2025-09-10 10:09:59
148.2,148.3,148.3,148.2,187446.1,1264,2025-09-10 10:10:00,2025-09-10 10:10:59
148.3,148.3,148.3,148.3,4004.1000000000004,27,2025-09-10 10:12:00,2025-09-10 10:12:59
148.25,148.35,148.35,148.25,2373.25,16,2025-09-10 10:13:00,2025-09-10 10:13:59
148.4,148.3,148.4,148.3,103225.7,696,2025-09-10 10:14:00,2025-09-10 10:14:59
148.35,148.25,148.35,148.25,4598.75,31,2025-09-10 10:15:00,2025-09-10 10:15:59
148.25,148.25,148.35,148.25,117434.0,792,2025-09-10 10:16:00,2025-09-10 10:16:59
148.35,148.35,148.35,148.25,3559.7,24,2025-09-10 10:17:00,2025-09-10 10:17:59
148.35,148.35,148.35,148.25,277551.45,1871,2025-09-10 10:18:00,2025-09-10 10:18:59
148.4,148.4,148.4,148.35,245970.19999999998,1658,2025-09-10 10:19:00,2025-09-10 10:19:59
148.35,148.4,148.4,148.35,4154.3,28,2025-09-10 10:20:00,2025-09-10 10:20:59
148.4,148.35,148.4,148.35,22705.05,153,2025-09-10 10:21:00,2025-09-10 10:21:59
148.4,148.4,148.4,148.4,201675.60000000003,1359,2025-09-10 10:22:00,2025-09-10 10:22:59
148.4,148.4,148.4,148.35,340824.75,2297,2025-09-10 10:23:00,2025-09-10 10:23:59
148.4,148.4,148.4,148.4,445.20000000000005,3,2025-09-10 10:24:00,2025-09-10 10:24:59
148.35,148.3,148.35,148.25,274523.2,1851,2025-09-10 10:25:00,2025-09-10 10:25:59
148.35,148.35,148.35,148.35,1038.45,7,2025-09-10 10:26:00,2025-09-10 10:26:59
148.35,148.35,148.35,148.3,3262.7000000000003,22,2025-09-10 10:27:00,2025-09-10 10:27:59
148.35,148.35,148.35,148.35,148.35,1,2025-09-10 10:28:00,2025-09-10 10:28:59
148.4,148.45,148.45,148.4,2047826.4,13796,2025-09-10 10:29:00,2025-09-10 10:29:59
148.4,148.45,148.45,148.35,1724123.6000000006,11618,2025-09-10 10:30:00,2025-09-10 10:30:59
148.35,148.35,148.45,148.35,40515.450000000004,273,2025-09-10 10:31:00,2025-09-10 10:31:59
148.35,148.4,148.45,148.35,89044.35,600,2025-09-10 10:32:00,2025-09-10 10:32:59
148.35,148.35,148.4,148.35,9495.099999999999,64,2025-09-10 10:33:00,2025-09-10 10:33:59
148.35,148.4,148.4,148.3,302782.75000000006,2041,2025-09-10 10:34:00,2025-09-10 10:34:59
148.4,148.4,148.4,148.4,7271.6,49,2025-09-10 10:35:00,2025-09-10 10:35:59
148.4,148.4,148.4,148.4,5490.799999999999,37,2025-09-10 10:36:00,2025-09-10 10:36:59
148.4,148.35,148.4,148.35,5638.8,38,2025-09-10 10:37:00,2025-09-10 10:37:59
148.4,148.4,148.4,148.35,8308.4,56,2025-09-10 10:38:00,2025-09-10 10:38:59
148.4,148.45,148.45,148.35,75681.5,510,2025-09-10 10:39:00,2025-09-10 10:39:59
148.4,148.55,148.55,148.4,453780.55,3056,2025-09-10 10:40:00,2025-09-10 10:40:59
148.6,148.65,148.65,148.6,269043.25,1810,2025-09-10 10:41:00,2025-09-10 10:41:59
148.65,148.55,148.65,148.55,5350.1,36,2025-09-10 10:42:00,2025-09-10 10:42:59
148.65,148.65,148.65,148.6,10553.4,71,2025-09-10 10:43:00,2025-09-10 10:43:59
148.65,148.6,148.65,148.6,1932.1,13,2025-09-10 10:44:00,2025-09-10 10:44:59
148.65,148.6,148.65,148.6,68356.5,460,2025-09-10 10:45:00,2025-09-10 10:45:59
148.65,148.65,148.65,148.65,7283.85,49,2025-09-10 10:46:00,2025-09-10 10:46:59
148.65,148.65,148.65,148.65,11297.4,76,2025-09-10 10:47:00,2025-09-10 10:47:59
148.6,148.7,148.7,148.6,104359.85,702,2025-09-10 10:48:00,2025-09-10 10:48:59
148.65,148.7,148.7,148.65,83714.45,563,2025-09-10 10:49:00,2025-09-10 10:49:59
148.7,148.65,148.7,148.65,84744.0,570,2025-09-10 10:50:00,2025-09-10 10:50:59
148.65,148.8,148.8,148.65,79725.55,536,2025-09-10 10:51:00,2025-09-10 10:51:59
148.75,148.85,148.85,148.75,192741.7,1295,2025-09-10 10:52:00,2025-09-10 10:52:59
148.75,148.9,148.9,148.75,31548.850000000002,212,2025-09-10 10:53:00,2025-09-10 10:53:59
148.9,148.8,148.9,148.8,461589.69999999995,3100,2025-09-10 10:54:00,2025-09-10 10:54:59
148.8,148.9,148.9,148.75,504655.74999999994,3391,2025-09-10 10:55:00,2025-09-10 10:55:59
148.9,148.9,148.9,148.9,46903.5,315,2025-09-10 10:56:00,2025-09-10 10:56:59
148.9,148.9,148.9,148.75,72463.9,487,2025-09-10 10:57:00,2025-09-10 10:57:59
148.9,148.75,148.9,148.75,16971.0,114,2025-09-10 10:58:00,2025-09-10 10:58:59
148.9,148.9,148.9,148.75,12057.9,81,2025-09-10 10:59:00,2025-09-10 10:59:59
147.9,147.9,147.9,147.9,147.9,1,2025-09-11 09:59:00,2025-09-11 09:59:59
147.9,147.65,148.05,147.65,1090883.9000000001,7369,2025-09-11 10:00:00,2025-09-11 10:00:59
148.0,147.9,148.0,147.65,24860.899999999998,168,2025-09-11 10:01:00,2025-09-11 10:01:59
147.6,147.85,147.85,147.55,61826.6,419,2025-09-11 10:02:00,2025-09-11 10:02:59
147.65,147.6,147.65,147.6,5019.5,34,2025-09-11 10:04:00,2025-09-11 10:04:59
147.65,147.85,147.85,147.65,295.5,2,2025-09-11 10:05:00,2025-09-11 10:05:59
147.8,147.85,147.85,147.8,48935.25,331,2025-09-11 10:06:00,2025-09-11 10:06:59
147.85,147.85,147.85,147.7,405838.6,2745,2025-09-11 10:07:00,2025-09-11 10:07:59
147.85,147.8,147.85,147.8,1478.4,10,2025-09-11 10:08:00,2025-09-11 10:08:59
147.8,147.75,147.8,147.75,8128.75,55,2025-09-11 10:09:00,2025-09-11 10:09:59
147.7,147.7,147.7,147.65,169233.75,1146,2025-09-11 10:10:00,2025-09-11 10:10:59
147.6,147.6,147.7,147.6,125627.95000000001,851,2025-09-11 10:11:00,2025-09-11 10:11:59
147.7,147.7,147.7,147.7,147.7,1,2025-09-11 10:12:00,2025-09-11 10:12:59
147.7,147.7,147.7,147.7,66021.9,447,2025-09-11 10:13:00,2025-09-11 10:13:59
147.65,147.65,147.65,147.65,147.65,1,2025-09-11 10:14:00,2025-09-11 10:14:59
147.65,147.65,147.65,147.65,7825.45,53,2025-09-11 10:15:00,2025-09-11 10:15:59
147.6,147.6,147.6,147.6,2656.7999999999997,18,2025-09-11 10:16:00,2025-09-11 10:16:59
147.6,147.65,147.65,147.6,1771.55,12,2025-09-11 10:17:00,2025-09-11 10:17:59
147.6,147.65,147.65,147.6,5462.55,37,2025-09-11 10:18:00,2025-09-11 10:18:59
147.65,147.6,147.65,147.6,75719.45,513,2025-09-11 10:19:00,2025-09-11 10:19:59
147.6,147.65,147.65,147.6,138745.5,940,2025-09-11 10:20:00,2025-09-11 10:20:59
147.65,147.65,147.65,147.65,9449.6,64,2025-09-11 10:21:00,2025-09-11 10:21:59
147.65,147.6,147.65,147.6,53439.2,362,2025-09-11 10:22:00,2025-09-11 10:22:59
147.6,147.6,147.6,147.6,1033.2,7,2025-09-11 10:23:00,2025-09-11 10:23:59
147.65,147.65,147.65,147.65,1476.5,10,2025-09-11 10:24:00,2025-09-11 10:24:59
147.65,147.6,147.65,147.6,1476.15,10,2025-09-11 10:25:00,2025-09-11 10:25:59
147.55,147.55,147.55,147.55,58577.35,397,2025-09-11 10:26:00,2025-09-11 10:26:59
147.5,147.5,147.55,147.5,5162.8,35,2025-09-11 10:27:00,2025-09-11 10:27:59
147.5,147.5,147.55,147.5,161660.35,1096,2025-09-11 10:28:00,2025-09-11 10:28:59
147.45,147.45,147.45,147.45,6930.15,47,2025-09-11 10:29:00,2025-09-11 10:29:59
147.4,147.45,147.45,147.4,12529.5,85,2025-09-11 10:30:00,2025-09-11 10:30:59
147.45,147.4,147.45,147.4,27867.6,189,2025-09-11 10:31:00,2025-09-11 10:31:59
147.4,147.3,147.45,147.3,454579.4999999998,3084,2025-09-11 10:32:00,2025-09-11 10:32:59
147.4,147.4,147.4,147.4,25647.6,174,2025-09-11 10:33:00,2025-09-11 10:33:59
147.4,147.3,147.4,147.3,5746.6,39,2025-09-11 10:34:00,2025-09-11 10:34:59
147.3,147.4,147.4,147.2,116203.15,789,2025-09-11 10:35:00,2025-09-11 10:35:59
147.3,147.3,147.3,147.3,589.2,4,2025-09-11 10:36:00,2025-09-11 10:36:59
147.3,147.25,147.3,147.25,23707.649999999998,161,2025-09-11 10:37:00,2025-09-11 10:37:59
147.3,147.25,147.3,147.25,83652.29999999999,568,2025-09-11 10:38:00,2025-09-11 10:38:59
147.3,147.3,147.3,147.25,31517.8,214,2025-09-11 10:39:00,2025-09-11 10:39:59
147.3,147.3,147.3,147.3,30785.699999999997,209,2025-09-11 10:40:00,2025-09-11 10:40:59
147.25,147.25,147.25,147.25,51095.75,347,2025-09-11 10:41:00,2025-09-11 10:41:59
147.3,147.3,147.3,147.3,4124.4,28,2025-09-11 10:42:00,2025-09-11 10:42:59
147.3,147.25,147.3,147.25,7805.15,53,2025-09-11 10:43:00,2025-09-11 10:43:59
147.3,147.25,147.3,147.25,15170.5,103,2025-09-11 10:44:00,2025-09-11 10:44:59
147.25,147.3,147.3,147.25,3681.45,25,2025-09-11 10:45:00,2025-09-11 10:45:59
147.3,147.3,147.3,147.3,24746.4,168,2025-09-11 10:46:00,2025-09-11 10:46:59
147.25,147.25,147.25,147.2,8686.599999999999,59,2025-09-11 10:48:00,2025-09-11 10:48:59
147.25,147.15,147.25,147.1,13690.75,93,2025-09-11 10:49:00,2025-09-11 10:49:59
147.05,147.05,147.1,147.05,16911.25,115,2025-09-11 10:50:00,2025-09-11 10:50:59
147.1,147.05,147.1,147.05,135590.2,922,2025-09-11 10:51:00,2025-09-11 10:51:59
147.1,147.1,147.1,147.05,15589.450000000003,106,2025-09-11 10:52:00,2025-09-11 10:52:59
147.05,147.1,147.1,147.0,456349.5999999999,3104,2025-09-11 10:53:00,2025-09-11 10:53:59
147.1,147.05,147.1,147.05,5147.1,35,2025-09-11 10:55:00,2025-09-11 10:55:59
147.0,147.05,147.1,146.95,473188.15,3219,2025-09-11 10:56:00,2025-09-11 10:56:59
147.0,147.0,147.05,146.95,362938.05,2469,2025-09-11 10:57:00,2025-09-11 10:57:59
146.95,147.0,147.0,146.9,13076.949999999999,89,2025-09-11 10:58:00,2025-09-11 10:58:59
147.0,146.95,147.0,146.9,475090.95000000007,3234,2025-09-11 10:59:00,2025-09-11 10:59:59
147.3,147.3,147.5,147.0,111894.59999999999,760,2025-09-12 10:00:00,2025-09-12 10:00:59
147.3,147.25,147.3,147.05,163440.35,1110,2025-09-12 10:01:00,2025-09-12 10:01:59
147.2,147.0,147.2,147.0,18526.3,126,2025-09-12 10:02:00,2025-09-12 10:02:59
147.0,147.0,147.1,146.8,349825.1999999999,2381,2025-09-12 10:03:00,2025-09-12 10:03:59
147.0,147.0,147.1,146.8,320214.0,2181,2025-09-12 10:04:00,2025-09-12 10:04:59
146.85,146.8,146.9,146.8,500089.44999999995,3406,2025-09-12 10:05:00,2025-09-12 10:05:59
