open,close,high,low,value,volume,begin,end
129.0,129.0,129.0,129.0,14706.0,114,2025-11-01 09:59:00,2025-11-01 09:59:59
129.0,129.0,129.0,128.75,10703.25,83,2025-11-01 10:00:00,2025-11-01 10:00:59
128.9,129.0,129.0,128.9,728415.1,5651,2025-11-01 10:01:00,2025-11-01 10:01:59
129.0,128.95,129.0,128.95,4127.8,32,2025-11-01 10:02:00,2025-11-01 10:02:59
129.0,129.25,129.25,128.95,886770.8,6870,2025-11-01 10:03:00,2025-11-01 10:03:59
129.0,129.15,129.25,129.0,51569.4,399,2025-11-01 10:04:00,2025-11-01 10:04:59
129.15,129.1,129.15,129.1,13814.400000000001,107,2025-11-01 10:05:00,2025-11-01 10:05:59
129.1,129.1,129.1,129.1,183322.00000000003,1420,2025-11-01 10:07:00,2025-11-01 10:07:59
129.05,129.1,129.1,129.0,113821.70000000001,882,2025-11-01 10:08:00,2025-11-01 10:08:59
129.05,129.05,129.1,129.05,28262.649999999998,219,2025-11-01 10:09:00,2025-11-01 10:09:59
129.05,129.05,129.05,129.05,190477.79999999996,1476,2025-11-01 10:10:00,2025-11-01 10:10:59
129.05,129.1,129.1,129.05,87109.75000000001,675,2025-11-01 10:11:00,2025-11-01 10:11:59
129.1,129.0,129.1,129.0,25810.0,200,2025-11-01 10:12:00,2025-11-01 10:12:59
129.1,129.1,129.1,129.0,35114.2,272,2025-11-01 10:13:00,2025-11-01 10:13:59
129.15,129.15,129.15,129.15,129.15,1,2025-11-01 10:15:00,2025-11-01 10:15:59
129.15,129.15,129.15,129.15,1033.2,8,2025-11-01 10:16:00,2025-11-01 10:16:59
129.1,129.1,129.15,129.1,338901.9,2625,2025-11-01 10:17:00,2025-11-01 10:17:59
129.1,129.1,129.1,129.1,41312.0,320,2025-11-01 10:18:00,2025-11-01 10:18:59
129.1,129.1,129.1,129.1,194166.4,1504,2025-11-01 10:19:00,2025-11-01 10:19:59
129.1,129.1,129.1,129.1,30854.9,239,2025-11-01 10:20:00,2025-11-01 10:20:59
129.05,129.1,129.1,129.05,516.35,4,2025-11-01 10:21:00,2025-11-01 10:21:59
129.1,129.1,129.1,129.1,1807.4,14,2025-11-01 10:22:00,2025-11-01 10:22:59
129.1,129.1,129.1,129.1,6067.700000000001,47,2025-11-01 10:23:00,2025-11-01 10:23:59
129.1,129.1,129.1,129.05,12393.55,96,2025-11-01 10:24:00,2025-11-01 10:24:59
129.1,129.1,129.1,129.1,5164.0,40,2025-11-01 10:25:00,2025-11-01 10:25:59
129.1,129.1,129.1,129.1,2582.0,20,2025-11-01 10:26:00,2025-11-01 10:26:59
129.1,129.1,129.1,129.1,9037.0,70,2025-11-01 10:27:00,2025-11-01 10:27:59
129.1,129.1,129.1,129.05,3614.7,28,2025-11-01 10:29:00,2025-11-01 10:29:59
129.1,129.05,129.1,129.05,16132.45,125,2025-11-01 10:30:00,2025-11-01 10:30:59
129.1,129.15,129.15,129.1,134783.30000000002,1044,2025-11-01 10:31:00,2025-11-01 10:31:59
129.1,129.15,129.15,129.1,15109.150000000001,117,2025-11-01 10:32:00,2025-11-01 10:32:59
129.15,129.15,129.15,129.15,16272.9,126,2025-11-01 10:33:00,2025-11-01 10:33:59
129.15,129.15,129.15,129.1,137157.25,1062,2025-11-01 10:34:00,2025-11-01 10:34:59
129.15,129.15,129.15,129.15,4907.7,38,2025-11-01 10:35:00,2025-11-01 10:35:59
129.15,129.15,129.15,129.15,122175.9,946,2025-11-01 10:36:00,2025-11-01 10:36:59
129.2,129.2,129.2,129.2,4392.799999999999,34,2025-11-01 10:37:00,2025-11-01 10:37:59
129.2,129.2,129.2,129.15,22734.6,176,2025-11-01 10:38:00,2025-11-01 10:38:59
129.25,129.3,129.3,129.2,660745.05,5111,2025-11-01 10:39:00,2025-11-01 10:39:59
129.3,129.35,129.35,129.3,135249.65,1046,2025-11-01 10:40:00,2025-11-01 10:40:59
129.35,129.35,129.35,129.35,3363.1,26,2025-11-01 10:41:00,2025-11-01 10:41:59
129.35,129.35,129.35,129.35,2328.3,18,2025-11-01 10:42:00,2025-11-01 10:42:59
129.35,129.2,129.35,129.2,3749.35,29,2025-11-01 10:43:00,2025-11-01 10:43:59
129.35,129.35,129.35,129.35,905.45,7,2025-11-01 10:44:00,2025-11-01 10:44:59
129.35,129.45,129.45,129.35,21747.45,168,2025-11-01 10:45:00,2025-11-01 10:45:59
129.45,129.45,129.45,129.45,1165.05,9,2025-11-01 10:46:00,2025-11-01 10:46:59
129.45,129.45,129.45,129.45,1294.5,10,2025-11-01 10:47:00,2025-11-01 10:47:59
129.45,129.45,129.45,129.45,25890.0,200,2025-11-01 10:48:00,2025-11-01 10:48:59
129.45,129.45,129.45,129.45,7767.0,60,2025-11-01 10:49:00,2025-11-01 10:49:59
129.45,129.45,129.45,129.4,10870.8,84,2025-11-01 10:50:00,2025-11-01 10:50:59
129.45,129.45,129.45,129.45,2200.6499999999996,17,2025-11-01 10:51:00,2025-11-01 10:51:59
129.45,129.4,129.45,129.4,517.7,4,2025-11-01 10:52:00,2025-11-01 10:52:59
129.4,129.4,129.4,129.4,12940.0,100,2025-11-01 10:53:00,2025-11-01 10:53:59
129.45,129.4,129.45,129.4,29643.25,229,2025-11-01 10:54:00,2025-11-01 10:54:59
129.45,129.45,129.45,129.45,7767.0,60,2025-11-01 10:55:00,2025-11-01 10:55:59
129.45,129.45,129.45,129.45,12815.550000000001,99,2025-11-01 10:56:00,2025-11-01 10:56:59
129.45,129.45,129.45,129.45,9967.65,77,2025-11-01 10:57:00,2025-11-01 10:57:59
