TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-07-22,0.8285,0.8572,0.8227,0.83,34491597
2022-07-25,0.8318,0.856,0.8317,0.8491,60681240
2022-07-26,0.8525,0.8798,0.841,0.8798,22391304
2022-07-27,0.879,0.8888,0.8563,0.8729,30844839
2022-07-28,0.8731,0.894,0.8731,0.8933,97933201
2022-07-29,0.894,0.9203,0.8933,0.915,175117141
2022-08-01,0.915,0.9268,0.88,0.8896,84615700
2022-08-02,0.8832,0.9,0.8804,0.8947,39864044
2022-08-03,0.89,0.8941,0.8806,0.8826,69175094
2022-08-04,0.8837,0.901,0.8837,0.8999,105393063
2022-08-05,0.9,0.91,0.8966,0.903,35642126
2022-08-08,0.9029,0.9099,0.8925,0.908,49784788
2022-08-09,0.9075,0.9136,0.9002,0.9059,18004126
2022-08-10,0.8975,0.9156,0.897,0.9137,28532652
2022-08-11,0.9114,0.9132,0.9054,0.9097,24394987
2022-08-12,0.9097,0.9168,0.9034,0.9111,26594854
2022-08-15,0.9103,0.9214,0.9103,0.914,41867931
2022-08-16,0.9162,0.9185,0.905,0.9104,28192855
2022-08-17,0.9109,0.9122,0.8921,0.8964,27292811
2022-08-18,0.8973,0.904,0.8778,0.8868,55273705
2022-08-19,0.887,0.8894,0.866,0.878,33252320
2022-08-22,0.8775,0.883,0.8602,0.8657,38599974
2022-08-23,0.8632,0.876,0.8632,0.8759,24969016
2022-08-24,0.8755,0.8851,0.8722,0.88,16243709
2022-08-25,0.883,0.8934,0.8796,0.8857,29363142
2022-08-26,0.886,0.8908,0.8821,0.8884,14348186
2022-08-29,0.885,0.8885,0.8721,0.8855,40022670
2022-08-30,0.8855,0.8901,0.8775,0.8797,26670218
2022-08-31,0.8776,0.89,0.8644,0.8753,34350896
2022-09-01,0.874,0.8773,0.8617,0.8647,45111058
2022-09-02,0.866,0.8802,0.8654,0.8791,62256734
2022-09-05,0.8751,0.8923,0.875,0.8828,36578398
2022-09-06,0.8835,0.886,0.8766,0.8818,45734186
2022-09-07,0.8826,0.8854,0.8772,0.8787,38468742
2022-09-08,0.8803,0.8843,0.877,0.8779,22605652
2022-09-09,0.8778,0.8811,0.8717,0.8735,24604336
2022-09-12,0.877,0.8812,0.8735,0.879,12241521
2022-09-13,0.8809,0.8836,0.8642,0.8675,43397642
2022-09-14,0.8685,0.8685,0.855,0.8575,42178404
2022-09-15,0.8576,0.8576,0.8432,0.8487,64576934
2022-09-16,0.8473,0.8487,0.8341,0.8419,97583916
2022-09-19,0.84,0.8482,0.8391,0.8422,19559727
2022-09-20,0.8422,0.8509,0.8389,0.8454,56926690
2022-09-21,0.8484,0.8757,0.8391,0.849,56155507
2022-09-22,0.8451,0.8499,0.8286,0.8358,59800644
2022-09-23,0.8357,0.838,0.793,0.814,79611220
2022-09-26,0.814,0.815,0.7961,0.7986,126134917
2022-09-27,0.7986,0.8138,0.7925,0.807,15918556
2022-09-28,0.8095,0.813,0.7991,0.808,21924798
2022-09-29,0.8018,0.8147,0.793,0.8011,49773912
2022-09-30,0.7961,0.82,0.7651,0.8107,100179513
2022-10-03,0.81,0.8416,0.7948,0.8366,38223709
2022-10-04,0.844,0.8557,0.8301,0.8505,37708433
2022-10-05,0.85,0.8639,0.838,0.8611,24989642
2022-10-06,0.8618,0.8684,0.8604,0.8675,21122851
2022-10-07,0.8675,0.89,0.8615,0.8774,127323656
2022-10-10,0.8774,0.8845,0.8681,0.8745,59898660
2022-10-11,0.8805,0.894,0.8754,0.8846,32149823
2022-10-12,0.8878,0.9,0.8725,0.8785,19994664
2022-10-13,0.8779,0.8779,0.8601,0.8671,14579852
2022-10-14,0.8671,0.8778,0.85,0.8516,23747598
2022-10-17,0.8518,0.8554,0.8417,0.8461,15408986
2022-10-18,0.8406,0.8514,0.8406,0.8499,10460441
2022-10-19,0.8497,0.85,0.833,0.8439,10063317
2022-10-20,0.842,0.8451,0.8375,0.8392,10601135
2022-10-21,0.8392,0.8416,0.8322,0.8391,31762555
2022-10-24,0.8391,0.851,0.8366,0.8487,10698610
2022-10-25,0.8478,0.8611,0.84,0.859,33843147
2022-10-26,0.86,0.8758,0.86,0.8725,73189806
2022-10-27,0.8697,0.872,0.8609,0.8664,62374320
2022-10-28,0.8636,0.8654,0.8585,0.8601,44393931
2022-10-31,0.8601,0.862,0.8515,0.8528,9051762
2022-11-01,0.8537,0.858,0.8503,0.855,9488555
