open,close,high,low,value,volume,begin,end,end_time,time_diff
1.065,1.0605,1.065,1.0575,1076632.48,1014474,2023-01-03 11:00:00,2023-01-03 11:59:59,11:59:59,0 days 00:00:01
1.0869,1.0943,1.095,1.0865,9388421.680000002,8608846,2023-01-04 11:00:00,2023-01-04 11:59:59,11:59:59,0 days 00:00:01
1.0848,1.0916,1.0916,1.084,2439596.65,2245168,2023-01-05 11:00:00,2023-01-05 11:59:59,11:59:59,0 days 00:00:01
1.0962,1.0964,1.097,1.088,2062644.6899999997,1884626,2023-01-06 11:00:00,2023-01-06 11:59:59,11:59:59,0 days 00:00:01
1.0991,1.1047,1.1057,1.0985,2476683.3100000005,2244939,2023-01-09 11:00:00,2023-01-09 11:59:59,11:59:59,0 days 00:00:01
1.0924,1.0909,1.097,1.086,2372335.140000001,2173403,2023-01-10 11:00:00,2023-01-10 11:59:59,11:59:59,0 days 00:00:01
1.0957,1.096,1.0971,1.094,1208955.1699999997,1103663,2023-01-11 11:00:00,2023-01-11 11:59:59,11:59:59,0 days 00:00:01
1.0698,1.0643,1.0702,1.0619,5420176.719999996,5077318,2023-01-12 11:00:00,2023-01-12 11:59:59,11:59:59,0 days 00:00:01
1.0701,1.077,1.0775,1.0686,2824437.6,2629127,2023-01-13 11:00:00,2023-01-13 11:59:59,11:59:59,0 days 00:00:01
1.0892,1.088,1.0909,1.0768,4242739.62,3917752,2023-01-16 11:00:00,2023-01-16 11:59:59,11:59:59,0 days 00:00:01
1.0918,1.0915,1.0948,1.0904,938455.1800000002,858665,2023-01-17 11:00:00,2023-01-17 11:59:59,11:59:59,0 days 00:00:01
1.0983,1.0965,1.1,1.0954,1090257.2799999998,993826,2023-01-18 11:00:00,2023-01-18 11:59:59,11:59:59,0 days 00:00:01
1.0974,1.099,1.0993,1.0965,2097347.2099999995,1909083,2023-01-19 11:00:00,2023-01-19 11:59:59,11:59:59,0 days 00:00:01
1.108,1.11,1.11,1.1061,2153428.6399999997,1940923,2023-01-20 11:00:00,2023-01-20 11:59:59,11:59:59,0 days 00:00:01
1.1047,1.1045,1.1048,1.1021,2603078.76,2358740,2023-01-23 11:00:00,2023-01-23 11:59:59,11:59:59,0 days 00:00:01
1.111,1.109,1.113,1.1067,1562953.8499999999,1407992,2023-01-24 11:00:00,2023-01-24 11:59:59,11:59:59,0 days 00:00:01
1.1041,1.1038,1.1049,1.1031,1683886.7,1525191,2023-01-25 11:00:00,2023-01-25 11:59:59,11:59:59,0 days 00:00:01
1.1191,1.1182,1.1194,1.1172,1048745.2499999995,937661,2023-01-26 11:00:00,2023-01-26 11:59:59,11:59:59,0 days 00:00:01
1.114,1.1125,1.1208,1.1125,7541459.119999999,6766943,2023-01-27 11:00:00,2023-01-27 11:59:59,11:59:59,0 days 00:00:01
1.112,1.1104,1.113,1.108,3272132.900000002,2948906,2023-01-30 11:00:00,2023-01-30 11:59:59,11:59:59,0 days 00:00:01
1.1199,1.1187,1.12,1.1186,1092946.2800000003,976727,2023-01-31 11:00:00,2023-01-31 11:59:59,11:59:59,0 days 00:00:01
