open,close,high,low,value,volume,begin,end
2.618,2.642,2.642,2.614,10470196.79,3988891,2025-11-14 17:00:00,2025-11-14 17:59:59
2.6415,2.639,2.6445,2.635,8272189.240000004,3132783,2025-11-14 18:00:00,2025-11-14 18:49:02
2.6415,2.643,2.662,2.639,6442274.120000002,2431653,2025-11-14 19:00:00,2025-11-14 19:59:59
2.655,2.651,2.6615,2.648,4094629.299999973,1542333,2025-11-14 20:00:00,2025-11-14 20:59:59
2.654,2.653,2.6545,2.6435,1218741.2899999993,459646,2025-11-14 21:00:00,2025-11-14 21:59:59
2.653,2.648,2.653,2.647,839101.34,316536,2025-11-14 22:00:00,2025-11-14 22:59:59
2.648,2.6485,2.651,2.6435,968576.42,365871,2025-11-14 23:00:00,2025-11-14 23:59:57
2.646,2.646,2.646,2.646,157489.93999999997,59520,2025-11-17 09:00:00,2025-11-17 09:59:59
2.6455,2.66,2.6615,2.6265,8780993.95000001,3318609,2025-11-17 10:00:00,2025-11-17 10:59:59
2.6605,2.656,2.6695,2.651,3832131.5799999977,1441765,2025-11-17 11:00:00,2025-11-17 11:59:59
2.6565,2.6525,2.657,2.6515,2187677.6899999995,824166,2025-11-17 12:00:00,2025-11-17 12:59:59
2.6545,2.6465,2.6555,2.646,1449083.41,546415,2025-11-17 13:00:00,2025-11-17 13:59:59
2.6465,2.6445,2.655,2.6405,3917453.7400000007,1481071,2025-11-17 14:00:00,2025-11-17 14:59:59
2.645,2.644,2.6485,2.6415,1847010.2899999998,698411,2025-11-17 15:00:00,2025-11-17 15:59:59
2.644,2.6375,2.6515,2.637,9924334.309999997,3755447,2025-11-17 16:00:00,2025-11-17 16:59:59
2.6375,2.6425,2.6465,2.6315,3742910.7700000005,1418543,2025-11-17 17:00:00,2025-11-17 17:59:59
2.643,2.64,2.643,2.6355,5357982.590000002,2028744,2025-11-17 18:00:00,2025-11-17 18:50:57
2.64,2.642,2.642,2.633,1510785.6600000006,572757,2025-11-17 19:00:00,2025-11-17 19:59:59
2.642,2.646,2.6485,2.6385,1197715.4499999997,452999,2025-11-17 20:00:00,2025-11-17 20:59:59
2.646,2.6405,2.6465,2.64,1101181.41,416441,2025-11-17 21:00:00,2025-11-17 21:59:07
2.64,2.616,2.641,2.613,4662490.989999998,1775179,2025-11-17 22:00:00,2025-11-17 22:59:59
2.615,2.6285,2.629,2.611,1623192.6099999945,619494,2025-11-17 23:00:00,2025-11-17 23:59:57
2.618,2.618,2.618,2.618,117095.31,44727,2025-11-18 09:00:00,2025-11-18 09:59:59
2.618,2.6,2.618,2.593,16118936.620000007,6202183,2025-11-18 10:00:00,2025-11-18 10:59:59
2.599,2.623,2.625,2.599,9406370.69,3595827,2025-11-18 11:00:00,2025-11-18 11:59:59
2.619,2.6205,2.6235,2.6145,3836951.4400000004,1465575,2025-11-18 12:00:00,2025-11-18 12:59:59
2.6205,2.6195,2.6245,2.6165,3330282.6599999997,1270687,2025-11-18 13:00:00,2025-11-18 13:59:59
2.6185,2.616,2.6195,2.614,5406207.1,2065345,2025-11-18 14:00:00,2025-11-18 14:59:59
2.616,2.613,2.6185,2.6105,2787049.180000001,1065868,2025-11-18 15:00:00,2025-11-18 15:59:59
2.613,2.632,2.6345,2.6115,5983690.800000002,2277403,2025-11-18 16:00:00,2025-11-18 16:59:59
2.6325,2.633,2.642,2.6265,4766432.529999998,1808981,2025-11-18 17:00:00,2025-11-18 17:59:59
2.633,2.626,2.6355,2.6215,5384283.75,2049147,2025-11-18 18:00:00,2025-11-18 18:50:17
2.626,2.633,2.633,2.618,3118235.9100000015,1188498,2025-11-18 19:00:00,2025-11-18 19:59:59
2.633,2.6375,2.639,2.6295,3236869.800000001,1228935,2025-11-18 20:00:00,2025-11-18 20:59:59
2.637,2.638,2.639,2.633,380799.77,144476,2025-11-18 21:00:00,2025-11-18 21:59:59
