open,close,high,low,value,volume,begin,end
2.448,2.448,2.448,2.448,60277.119999999995,24623,2025-09-15 09:59:00,2025-09-15 09:59:59
2.446,2.4365,2.446,2.435,657379.5700000001,269599,2025-09-15 10:00:00,2025-09-15 10:00:59
2.4365,2.435,2.441,2.434,1324747.8999999997,543419,2025-09-15 10:01:00,2025-09-15 10:01:59
2.4345,2.4285,2.437,2.4265,2134790.6100000003,876642,2025-09-15 10:02:00,2025-09-15 10:02:59
2.4285,2.434,2.435,2.4275,366034.9999999999,150698,2025-09-15 10:03:00,2025-09-15 10:03:59
2.435,2.4335,2.4355,2.432,671278.68,275747,2025-09-15 10:04:00,2025-09-15 10:04:59
2.4335,2.432,2.434,2.429,1061256.7899999998,436571,2025-09-15 10:05:00,2025-09-15 10:05:59
2.43,2.4305,2.4345,2.425,874000.3699999999,359870,2025-09-15 10:06:00,2025-09-15 10:06:59
2.43,2.429,2.431,2.429,274810.74999999994,113089,2025-09-15 10:07:00,2025-09-15 10:07:59
2.429,2.429,2.43,2.4285,124564.25999999997,51285,2025-09-15 10:08:00,2025-09-15 10:08:59
2.429,2.4305,2.431,2.4265,432310.62000000005,177924,2025-09-15 10:09:00,2025-09-15 10:09:59
2.4305,2.429,2.4305,2.429,21531.41,8863,2025-09-15 10:10:00,2025-09-15 10:10:59
2.43,2.43,2.43,2.429,64564.740000000005,26576,2025-09-15 10:11:00,2025-09-15 10:11:59
2.429,2.4305,2.4305,2.428,90452.76000000001,37230,2025-09-15 10:12:00,2025-09-15 10:12:59
2.43,2.43,2.4305,2.43,17897.519999999993,7365,2025-09-15 10:13:00,2025-09-15 10:13:59
2.4305,2.4285,2.4305,2.4285,46253.700000000004,19040,2025-09-15 10:14:00,2025-09-15 10:14:59
2.4285,2.429,2.4295,2.4235,635870.1900000001,262031,2025-09-15 10:15:00,2025-09-15 10:15:59
2.429,2.427,2.429,2.426,86994.52,35846,2025-09-15 10:16:00,2025-09-15 10:16:59
2.427,2.4265,2.4285,2.424,920577.87,379361,2025-09-15 10:17:00,2025-09-15 10:17:59
2.4265,2.427,2.427,2.424,148611.85999999993,61239,2025-09-15 10:18:00,2025-09-15 10:18:59
2.427,2.427,2.427,2.4245,225264.30000000002,92852,2025-09-15 10:19:00,2025-09-15 10:19:59
2.4265,2.425,2.4265,2.425,73384.24,30258,2025-09-15 10:20:00,2025-09-15 10:20:59
2.4265,2.4265,2.4265,2.4245,14488.400000000001,5972,2025-09-15 10:21:00,2025-09-15 10:21:59
2.4265,2.4235,2.4265,2.4235,828070.63,341543,2025-09-15 10:22:00,2025-09-15 10:22:59
2.424,2.4225,2.4245,2.4225,251535.64,103807,2025-09-15 10:23:00,2025-09-15 10:23:59
2.423,2.4225,2.423,2.4225,96742.15999999999,39934,2025-09-15 10:24:00,2025-09-15 10:24:59
2.4225,2.4225,2.423,2.422,138755.83000000007,57279,2025-09-15 10:25:00,2025-09-15 10:25:59
2.4225,2.421,2.4225,2.4205,265329.28,109592,2025-09-15 10:26:00,2025-09-15 10:26:59
2.4215,2.4205,2.4215,2.4205,23511.039999999997,9713,2025-09-15 10:27:00,2025-09-15 10:27:59
2.421,2.421,2.421,2.4205,266197.39,109976,2025-09-15 10:28:00,2025-09-15 10:28:59
