open,close,high,low,value,volume,begin,end
2.691,2.6935,2.698,2.6885,3342191.3800000013,1240695,2025-11-13 18:00:00,2025-11-13 18:52:07
2.692,2.6935,2.6985,2.686,8897984.110000001,3306399,2025-11-13 19:00:00,2025-11-13 19:59:59
2.6935,2.694,2.6965,2.6895,1266742.64,470356,2025-11-13 20:00:00,2025-11-13 20:59:59
2.694,2.668,2.6945,2.6595,8043145.5699999975,3004701,2025-11-13 21:00:00,2025-11-13 21:59:59
2.668,2.675,2.6795,2.663,6359591.729999997,2381883,2025-11-13 22:00:00,2025-11-13 22:59:59
2.675,2.6755,2.6775,2.6685,2803310.549999986,1048687,2025-11-13 23:00:00,2025-11-13 23:59:57
2.6815,2.6815,2.6815,2.6815,712938.45,265873,2025-11-14 09:00:00,2025-11-14 09:59:59
2.6835,2.705,2.7065,2.6835,18600574.1,6890474,2025-11-14 10:00:00,2025-11-14 10:59:59
2.7055,2.704,2.7065,2.701,4151037.05,1534553,2025-11-14 11:00:00,2025-11-14 11:59:59
2.704,2.6875,2.704,2.6845,7492106.849999999,2781256,2025-11-14 12:00:00,2025-11-14 12:59:59
2.6875,2.6885,2.689,2.681,2263232.0999999987,843030,2025-11-14 13:00:00,2025-11-14 13:59:59
2.688,2.661,2.6885,2.661,13122651.080000002,4908944,2025-11-14 14:00:00,2025-11-14 14:59:59
2.6645,2.6505,2.6685,2.64,20585244.270000003,7758782,2025-11-14 15:00:00,2025-11-14 15:59:59
2.6505,2.618,2.657,2.6125,31596242.09999999,12012461,2025-11-14 16:00:00,2025-11-14 16:59:59
2.618,2.642,2.642,2.614,10470196.79,3988891,2025-11-14 17:00:00,2025-11-14 17:59:59
2.6415,2.639,2.6445,2.635,8272189.240000004,3132783,2025-11-14 18:00:00,2025-11-14 18:49:02
2.6415,2.643,2.662,2.639,6442274.120000002,2431653,2025-11-14 19:00:00,2025-11-14 19:59:59
2.655,2.651,2.6615,2.648,4094629.299999973,1542333,2025-11-14 20:00:00,2025-11-14 20:59:59
2.654,2.653,2.6545,2.6435,1218741.2899999993,459646,2025-11-14 21:00:00,2025-11-14 21:59:59
2.653,2.648,2.653,2.647,839101.34,316536,2025-11-14 22:00:00,2025-11-14 22:59:59
2.648,2.6485,2.651,2.6435,968576.42,365871,2025-11-14 23:00:00,2025-11-14 23:59:57
2.646,2.646,2.646,2.646,157489.93999999997,59520,2025-11-17 09:00:00,2025-11-17 09:59:59
2.6455,2.66,2.6615,2.6265,8780993.95000001,3318609,2025-11-17 10:00:00,2025-11-17 10:59:59
2.6605,2.656,2.6695,2.651,3832131.5799999977,1441765,2025-11-17 11:00:00,2025-11-17 11:59:59
2.6565,2.6525,2.657,2.6515,2187677.6899999995,824166,2025-11-17 12:00:00,2025-11-17 12:59:59
2.6545,2.6465,2.6555,2.646,1449083.41,546415,2025-11-17 13:00:00,2025-11-17 13:59:59
2.6465,2.6445,2.655,2.6405,3917453.7400000007,1481071,2025-11-17 14:00:00,2025-11-17 14:59:59
2.645,2.644,2.6485,2.6415,1847010.2899999998,698411,2025-11-17 15:00:00,2025-11-17 15:59:59
2.644,2.6375,2.6515,2.637,9924334.309999997,3755447,2025-11-17 16:00:00,2025-11-17 16:59:59
2.6375,2.6425,2.6465,2.6315,3742910.7700000005,1418543,2025-11-17 17:00:00,2025-11-17 17:59:59
2.643,2.64,2.643,2.6355,5357982.590000002,2028744,2025-11-17 18:00:00,2025-11-17 18:50:57
2.64,2.642,2.642,2.633,1510785.6600000006,572757,2025-11-17 19:00:00,2025-11-17 19:59:59
2.642,2.646,2.6485,2.6385,1197715.4499999997,452999,2025-11-17 20:00:00,2025-11-17 20:59:59
2.646,2.6405,2.6465,2.64,1101181.41,416441,2025-11-17 21:00:00,2025-11-17 21:59:07
2.64,2.616,2.641,2.613,4662490.989999998,1775179,2025-11-17 22:00:00,2025-11-17 22:59:59
