TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-01-03,3825.3,3866.15,3823.5,3852.5,0.0
2022-01-04,3880.2,3892.33,3846.81,3873.49,0.0
2022-01-05,3857.9,3875.25,3805.06,3815.05,0.0
2022-01-06,3758.68,3784.17,3720.17,3753.29,0.0
2022-01-07,3772.04,3772.04,3772.04,3772.04,0.0
2022-01-10,3798.43,3806.84,3726.73,3738.68,0.0
2022-01-11,3764.56,3800.91,3751.45,3785.29,0.0
2022-01-12,3797.31,3841.72,3783.92,3829.95,0.0
2022-01-13,3814.98,3818.97,3664.48,3674.73,0.0
2022-01-14,3703.9,3723.62,3512.03,3596.98,0.0
2022-01-17,3633.01,3651.36,3501.94,3560.35,0.0
2022-01-18,3527.77,3534.56,3297.12,3328.94,0.0
2022-01-19,3290.31,3500.27,3256.6,3436.82,0.0
2022-01-20,3519.02,3533.61,3403.74,3516.02,0.0
2022-01-21,3420.12,3503.84,3407.27,3439.25,0.0
2022-01-24,3426.19,3426.47,3158.46,3235.28,0.0
2022-01-25,3316.98,3330.9,3229.45,3258.74,0.0
2022-01-26,3341.71,3412.15,3276.06,3357.66,0.0
2022-01-27,3296.47,3525.94,3284.49,3455.93,0.0
2022-01-28,3508.57,3534.4,3446.01,3488.6,0.0
2022-01-31,3524.11,3566.05,3518.55,3530.38,0.0
2022-02-01,3564.55,3584.71,3531.35,3548.17,0.0
2022-02-02,3574.87,3580.22,3516.17,3543.8,0.0
2022-02-03,3498.76,3519.23,3446.65,3471.18,0.0
2022-02-04,3499.32,3556.32,3464.14,3471.01,0.0
2022-02-07,3511.39,3521.26,3437.93,3470.78,0.0
2022-02-08,3497.18,3551.65,3487.64,3551.65,0.0
2022-02-09,3593.0,3638.93,3580.45,3638.93,0.0
2022-02-10,3628.51,3655.76,3592.75,3655.76,0.0
2022-02-11,3579.69,3596.74,3514.12,3546.62,0.0
2022-02-14,3442.82,3524.87,3404.35,3481.38,0.0
2022-02-15,3532.0,3614.15,3514.98,3600.29,0.0
2022-02-16,3682.94,3683.95,3608.01,3646.41,0.0
2022-02-17,3588.27,3595.12,3498.2,3511.08,0.0
2022-02-18,3547.04,3565.52,3371.05,3393.31,0.0
2022-02-21,3458.73,3460.42,2910.49,3036.88,0.0
2022-02-22,2909.4,3113.4,2756.46,3084.74,0.0
2022-02-24,2735.88,2740.31,1681.55,2058.12,0.0
2022-02-25,2261.33,2552.46,2256.09,2470.48,0.0
2022-03-24,2474.52,2761.17,2447.68,2578.51,0.0
2022-03-25,2620.62,2664.74,2470.69,2484.13,0.0
2022-03-28,2479.49,2484.57,2407.2,2430.7,0.0
2022-03-29,2442.43,2538.2,2363.62,2408.49,0.0
2022-03-30,2437.92,2513.03,2437.92,2513.03,0.0
2022-03-31,2535.32,2703.51,2533.39,2703.51,0.0
2022-04-01,2714.62,2817.72,2714.62,2759.64,0.0
2022-04-04,2775.06,2835.46,2682.34,2787.69,0.0
2022-04-05,2796.56,2808.27,2576.34,2662.79,0.0
2022-04-06,2641.79,2696.97,2594.95,2611.43,0.0
2022-04-07,2618.26,2653.85,2618.26,2635.39,0.0
2022-04-08,2649.16,2656.72,2554.72,2592.72,0.0
2022-04-11,2596.17,2623.64,2557.16,2557.16,0.0
2022-04-12,2559.22,2570.78,2472.28,2540.99,0.0
2022-04-13,2546.64,2558.86,2517.44,2528.42,0.0
2022-04-14,2530.9,2533.77,2403.86,2404.73,0.0
2022-04-15,2403.16,2431.91,2353.13,2424.99,0.0
2022-04-18,2430.91,2447.58,2338.36,2342.63,0.0
2022-04-19,2342.53,2344.37,2216.61,2317.46,0.0
2022-04-20,2326.03,2374.87,2271.72,2330.73,0.0
2022-04-21,2334.97,2341.21,2260.68,2271.05,0.0
2022-04-22,2271.18,2290.04,2223.73,2232.23,0.0
2022-04-25,2236.32,2237.45,2168.18,2186.22,0.0
2022-04-26,2190.97,2347.92,2190.97,2318.46,0.0
2022-04-27,2326.27,2427.47,2305.47,2424.28,0.0
2022-04-28,2434.86,2505.94,2379.12,2383.66,0.0
2022-04-29,2390.83,2448.52,2390.83,2445.17,0.0
2022-05-04,2444.25,2464.6,2373.16,2373.16,0.0
2022-05-05,2379.04,2412.81,2379.04,2404.8,0.0
