TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-07-22,1.1675,1.1677,1.1674,1.1674,258839294.0
2022-07-25,1.1677,1.1678,1.1676,1.1677,136066741.0
2022-07-26,1.1678,1.168,1.1678,1.1679,151642347.0
2022-07-27,1.1681,1.1684,1.1681,1.1684,209958581.0
2022-07-28,1.1688,1.1691,1.1688,1.1689,97733725.0
2022-07-29,1.1691,1.1693,1.169,1.1693,162651373.0
2022-08-01,1.1693,1.1696,1.1693,1.1696,142584833.0
2022-08-02,1.1697,1.1698,1.1695,1.1697,100763673.0
2022-08-03,1.1699,1.1701,1.1698,1.17,108094040.0
2022-08-04,1.1705,1.1708,1.1705,1.1708,125404738.0
2022-08-05,1.1708,1.171,1.1707,1.171,156324940.0
2022-08-08,1.171,1.1713,1.171,1.171,145756249.0
2022-08-09,1.1712,1.1715,1.1712,1.1713,99623072.0
2022-08-10,1.1715,1.1716,1.1715,1.1715,132198554.0
2022-08-11,1.1722,1.1724,1.1722,1.1724,210342823.0
2022-08-12,1.1725,1.1727,1.1725,1.1726,113559750.0
2022-08-15,1.1728,1.1729,1.1727,1.1729,86624881.0
2022-08-16,1.1729,1.1731,1.1729,1.173,127942922.0
2022-08-17,1.1732,1.1734,1.1732,1.1734,261223314.0
2022-08-18,1.1739,1.1741,1.1739,1.1741,229281057.0
2022-08-19,1.1741,1.1743,1.1741,1.1741,92040862.0
2022-08-22,1.1745,1.1746,1.1744,1.1745,126408589.0
2022-08-23,1.1746,1.1748,1.1746,1.1748,97010894.0
2022-08-24,1.1748,1.175,1.1748,1.175,83791587.0
2022-08-25,1.1756,1.1758,1.1756,1.1758,93400503.0
2022-08-26,1.1758,1.176,1.1758,1.176,97494612.0
2022-08-29,1.1761,1.1763,1.1761,1.1762,308625024.0
2022-08-30,1.1763,1.1765,1.1763,1.1763,120394253.0
2022-08-31,1.1765,1.1767,1.1765,1.1766,462243904.0
2022-09-01,1.1773,1.1775,1.1773,1.1775,133609107.0
2022-09-02,1.1776,1.1777,1.1775,1.1777,218201343.0
2022-09-05,1.1778,1.178,1.1778,1.178,187165214.0
2022-09-06,1.178,1.1782,1.178,1.1781,124933889.0
2022-09-07,1.1782,1.1784,1.1782,1.1782,323527651.0
2022-09-08,1.179,1.1792,1.179,1.1792,141259817.0
2022-09-09,1.1792,1.1794,1.1792,1.1792,427945366.0
2022-09-12,1.1794,1.1796,1.1794,1.1796,289265613.0
2022-09-13,1.1798,1.1798,1.1796,1.1798,118685439.0
2022-09-14,1.1799,1.18,1.1798,1.1799,196947524.0
2022-09-15,1.1806,1.1808,1.1806,1.1806,110965595.0
2022-09-16,1.1808,1.181,1.1808,1.181,137263459.0
2022-09-19,1.181,1.1812,1.181,1.1812,151705908.0
2022-09-20,1.1813,1.1814,1.1812,1.1813,424118978.0
2022-09-21,1.1814,1.1815,1.1814,1.1814,250754760.0
2022-09-22,1.1821,1.1823,1.1821,1.1823,180551035.0
2022-09-23,1.1823,1.1824,1.1823,1.1824,227782754.0
2022-09-26,1.1825,1.1826,1.1825,1.1826,315443510.0
2022-09-27,1.1828,1.183,1.1828,1.1829,349124137.0
2022-09-28,1.183,1.1832,1.183,1.1832,107883400.0
2022-09-29,1.1838,1.1839,1.1837,1.1837,209884331.0
2022-09-30,1.184,1.1841,1.184,1.184,185783927.0
2022-10-03,1.1843,1.1844,1.1842,1.1844,167781478.0
2022-10-04,1.1845,1.1847,1.1845,1.1847,94507366.0
