TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-12-09,132.2,132.52,132.04,132.48,24383.0
2022-12-12,132.48,132.82,132.26,132.76,33947.0
2022-12-13,132.78,132.94,132.24,132.62,157166.0
2022-12-14,132.62,132.98,132.52,132.92,38302.0
2022-12-15,132.98,133.12,132.7,132.8,104164.0
2022-12-16,133.04,133.04,132.4,132.88,38976.0
2022-12-19,132.68,133.16,132.48,132.84,50568.0
2022-12-20,132.9,132.9,132.4,132.7,27041.0
2022-12-21,132.52,132.98,132.42,132.88,117330.0
2022-12-22,132.86,133.22,132.68,133.1,63258.0
2022-12-23,133.08,133.3,132.98,133.18,33956.0
2022-12-26,133.18,133.52,132.94,133.46,103853.0
2022-12-27,133.48,133.82,133.12,133.38,185616.0
2022-12-28,133.22,133.74,133.22,133.72,236121.0
2022-12-29,133.8,133.8,133.36,133.7,212401.0
2022-12-30,133.7,133.96,133.42,133.72,60655.0
2023-01-03,133.46,134.22,133.36,134.14,35745.0
2023-01-04,133.92,134.46,133.92,134.38,27359.0
2023-01-05,134.18,134.6,134.18,134.56,34797.0
2023-01-06,134.56,134.76,134.38,134.66,27791.0
2023-01-09,134.4,136.0,134.2,134.36,50567.0
2023-01-10,134.66,134.66,134.16,134.44,60598.0
2023-01-11,134.2,134.58,134.14,134.3,42686.0
2023-01-12,134.46,134.46,134.02,134.28,23877.0
2023-01-13,134.1,134.24,134.06,134.16,31367.0
2023-01-16,134.16,134.64,134.02,134.56,30196.0
2023-01-17,134.66,134.72,134.18,134.38,38584.0
2023-01-18,134.5,134.52,134.2,134.46,34632.0
2023-01-19,134.62,134.72,134.42,134.7,28092.0
2023-01-20,134.42,134.74,134.38,134.7,30114.0
2023-01-23,134.72,134.82,134.2,134.66,31563.0
2023-01-24,134.54,134.76,134.42,134.58,26132.0
2023-01-25,134.74,134.74,134.4,134.66,43514.0
2023-01-26,134.44,134.76,134.38,134.64,29121.0
2023-01-27,134.64,134.86,134.5,134.64,99817.0
2023-01-30,134.64,134.9,134.46,134.56,29917.0
2023-01-31,134.6,134.76,134.52,134.68,26870.0
2023-02-01,134.6,134.9,134.56,134.76,31381.0
2023-02-02,134.76,134.88,134.56,134.84,31598.0
2023-02-03,134.86,134.98,134.72,134.94,31890.0
2023-02-06,134.94,135.04,134.6,134.82,75475.0
2023-02-07,134.88,134.94,134.66,134.86,37233.0
2023-02-08,134.84,135.0,134.74,134.9,36723.0
2023-02-09,135.0,135.0,134.64,134.68,20205.0
2023-02-10,134.72,134.92,134.42,134.64,580648.0
2023-02-13,134.42,134.98,134.4,134.82,22951.0
2023-02-14,134.86,134.94,134.38,134.56,784655.0
2023-02-15,134.8,134.8,134.32,134.38,708437.0
2023-02-16,134.1,134.94,133.9,134.24,1251673.0
2023-02-17,134.5,134.5,133.72,133.76,22025.0
2023-02-20,133.76,134.28,133.7,133.92,99964.0
2023-02-21,134.0,134.3,133.62,134.26,150043.0
2023-02-22,134.3,134.42,134.12,134.34,114790.0
2023-02-24,134.5,134.88,134.08,134.72,49090.0
2023-02-27,134.38,134.8,134.06,134.24,61511.0
2023-02-28,133.88,134.84,133.88,134.36,29445.0
2023-03-01,134.2,134.56,134.18,134.3,34017.0
2023-03-02,134.24,134.66,134.24,134.56,61759.0
2023-03-03,134.78,134.84,134.58,134.68,21166.0
2023-03-06,134.9,135.0,134.66,134.92,25873.0
2023-03-07,134.78,135.2,134.74,134.88,21001.0
2023-03-09,134.8,134.98,134.38,134.66,25372.0
2023-03-10,134.42,135.44,134.42,135.1,377837.0
2023-03-13,135.1,135.38,134.96,135.0,151320.0
2023-03-14,134.9,135.38,134.9,135.3,22229.0
2023-03-15,135.3,135.64,134.98,135.3,14969.0
2023-03-16,135.42,135.5,135.14,135.38,14856.0
2023-03-17,135.4,135.58,135.06,135.5,28378.0
2023-03-20,135.02,135.62,135.02,135.44,45376.0
2023-03-21,135.5,135.6,135.26,135.4,21778.0
2023-03-22,135.42,135.84,135.3,135.4,22896.0
2023-03-23,135.4,135.78,135.4,135.42,47128.0
2023-03-24,135.44,135.58,135.34,135.42,31299.0
2023-03-27,135.42,135.6,135.34,135.56,38232.0
2023-03-28,135.42,135.84,135.4,135.72,24920.0
2023-03-29,135.66,136.2,135.66,136.1,36045.0
2023-03-30,135.7,136.32,135.68,136.28,17644.0
2023-03-31,136.28,136.48,135.8,136.4,26373.0
2023-04-03,136.06,136.8,136.06,136.68,125964.0
2023-04-04,136.68,136.94,136.62,136.72,21621.0
2023-04-05,136.72,136.92,136.2,136.64,30927.0
2023-04-06,136.64,136.78,136.18,136.66,31131.0
2023-04-07,136.32,136.84,136.32,136.66,28021.0
2023-04-10,136.68,136.8,136.38,136.78,34553.0
2023-04-11,136.78,136.86,136.26,136.64,107841.0
2023-04-12,136.7,136.7,136.42,136.5,15897.0
2023-04-13,136.38,136.8,136.34,136.56,45130.0
2023-04-14,136.38,136.72,136.36,136.56,28012.0
2023-04-17,136.4,136.74,136.4,136.6,37469.0
2023-04-18,136.6,136.8,136.28,136.6,53166.0
2023-04-19,136.66,136.78,136.3,136.64,32239.0
2023-04-20,136.68,136.9,136.2,136.76,44335.0
2023-04-21,136.78,137.16,136.6,137.14,36511.0
2023-04-24,137.16,137.38,136.88,137.24,20755.0
2023-04-25,137.24,137.38,137.16,137.24,22103.0
2023-04-26,137.24,137.48,136.96,137.32,28212.0
2023-04-27,137.3,137.36,136.9,137.14,54976.0
2023-04-28,137.4,137.4,136.82,137.14,46959.0
