open,close,high,low,value,volume,begin,end
185.72,185.74,185.84,185.72,322393.1,1735,2025-11-13 18:00:00,2025-11-13 18:52:07
185.8,185.68,185.94,185.48,4373552.959999999,23555,2025-11-13 19:00:00,2025-11-13 19:59:59
185.68,185.64,185.78,185.6,326335.78,1758,2025-11-13 20:00:00,2025-11-13 20:58:03
185.64,185.76,185.86,185.54,725833.62,3911,2025-11-13 21:00:00,2025-11-13 21:59:59
185.76,185.94,185.94,185.58,253515.18,1364,2025-11-13 22:00:00,2025-11-13 22:59:59
185.9,185.78,185.92,185.78,821113.3799999999,4419,2025-11-13 23:00:00,2025-11-13 23:59:57
186.26,186.26,186.26,186.26,11361.86,61,2025-11-14 09:00:00,2025-11-14 09:59:59
185.92,186.02,186.26,185.84,1371443.6600000006,7372,2025-11-14 10:00:00,2025-11-14 10:59:59
186.02,185.92,186.14,185.72,232104134.6,1249433,2025-11-14 11:00:00,2025-11-14 11:59:02
185.92,185.84,186.0,185.74,2665639.6999999997,14342,2025-11-14 12:00:00,2025-11-14 12:59:59
185.84,186.0,186.04,185.82,990676.9000000004,5327,2025-11-14 13:00:00,2025-11-14 13:59:59
185.98,185.98,186.14,185.84,2251041.88,12099,2025-11-14 14:00:00,2025-11-14 14:59:59
185.96,186.14,186.14,185.92,1094227.4800000002,5879,2025-11-14 15:00:00,2025-11-14 15:59:02
186.14,185.98,186.14,185.98,1030862.1,5541,2025-11-14 16:00:00,2025-11-14 16:59:07
186.0,186.12,186.14,185.98,2068121.8,11115,2025-11-14 17:00:00,2025-11-14 17:58:03
186.12,186.1,186.14,186.02,877673.5800000001,4716,2025-11-14 18:00:00,2025-11-14 18:52:22
186.02,186.12,186.12,186.02,395272.43999999994,2124,2025-11-14 19:00:00,2025-11-14 19:59:03
186.12,186.14,186.14,186.1,918665.1000000001,4936,2025-11-14 20:00:00,2025-11-14 20:59:07
186.14,186.14,186.14,186.12,830922.1599999997,4464,2025-11-14 21:00:00,2025-11-14 21:59:59
186.12,186.22,186.22,186.12,605547.3800000001,3253,2025-11-14 22:00:00,2025-11-14 22:59:59
186.2,186.24,186.24,186.12,194963.9,1047,2025-11-14 23:00:00,2025-11-14 23:44:07
186.28,186.28,186.28,186.28,3539.32,19,2025-11-17 09:00:00,2025-11-17 09:59:59
186.32,186.52,186.66,186.26,7131003.519999999,38215,2025-11-17 10:00:00,2025-11-17 10:59:59
186.56,186.36,186.58,186.3,11465429.419999998,61512,2025-11-17 11:00:00,2025-11-17 11:59:59
186.36,186.34,186.36,186.3,2432195.4,13053,2025-11-17 12:00:00,2025-11-17 12:59:59
186.34,186.12,186.4,186.12,2623227.339999999,14080,2025-11-17 13:00:00,2025-11-17 13:59:59
186.1,185.96,186.24,185.84,3246990.1600000006,17463,2025-11-17 14:00:00,2025-11-17 14:59:59
185.96,186.36,186.36,185.94,1209539.7800000005,6495,2025-11-17 15:00:00,2025-11-17 15:59:03
186.28,186.36,186.36,186.1,6503247.740000002,34898,2025-11-17 16:00:00,2025-11-17 16:59:59
186.36,186.36,186.36,186.12,1862522.02,9998,2025-11-17 17:00:00,2025-11-17 17:59:59
186.36,186.34,186.36,186.24,5983992.38,32110,2025-11-17 18:00:00,2025-11-17 18:46:07
186.36,186.36,186.4,186.3,1851608.58,9937,2025-11-17 19:00:00,2025-11-17 19:59:59
186.36,186.32,186.36,186.3,6277701.799999999,33696,2025-11-17 20:00:00,2025-11-17 20:58:08
186.34,186.32,186.34,186.3,558057.1799999999,2995,2025-11-17 21:00:00,2025-11-17 21:57:07
186.34,186.36,186.36,186.3,67639.56,363,2025-11-17 22:00:00,2025-11-17 22:56:03
