open,close,high,low,value,volume,begin,end
183.56,183.56,183.56,183.56,230551.36,1256,2025-09-08 09:59:00,2025-09-08 09:59:59
183.56,183.7,183.84,183.32,437878.00000000006,2388,2025-09-08 10:00:00,2025-09-08 10:00:59
183.7,183.72,183.72,183.32,79718.30000000013,434,2025-09-08 10:01:00,2025-09-08 10:01:59
183.64,183.56,183.72,183.52,133502.03999999998,727,2025-09-08 10:02:00,2025-09-08 10:02:59
183.72,183.58,183.8,183.56,1836.8799999999999,10,2025-09-08 10:03:00,2025-09-08 10:03:59
183.8,183.62,183.8,183.62,28838.6,157,2025-09-08 10:04:00,2025-09-08 10:04:59
183.62,183.78,183.8,183.62,103290.62,562,2025-09-08 10:05:00,2025-09-08 10:05:59
183.76,183.88,183.88,183.66,686989.0399999999,3737,2025-09-08 10:06:00,2025-09-08 10:06:59
183.88,183.76,183.92,183.68,4582280.7,24915,2025-09-08 10:07:00,2025-09-08 10:07:59
183.9,183.9,183.92,183.72,219783.16000000003,1195,2025-09-08 10:08:00,2025-09-08 10:08:59
183.92,183.92,183.92,183.9,40277.85999999998,219,2025-09-08 10:09:00,2025-09-08 10:09:59
183.9,183.9,183.96,183.9,34026.96,185,2025-09-08 10:10:00,2025-09-08 10:10:59
183.9,183.96,183.96,183.9,12692.04,69,2025-09-08 10:11:00,2025-09-08 10:11:59
183.9,183.9,183.94,183.9,11403.919999999996,62,2025-09-08 10:12:00,2025-09-08 10:12:59
183.9,183.94,183.94,183.9,55916.439999999995,304,2025-09-08 10:13:00,2025-09-08 10:13:59
183.9,183.9,183.94,183.9,39913.86000000001,217,2025-09-08 10:14:00,2025-09-08 10:14:59
183.9,183.9,183.94,183.9,8091.639999999999,44,2025-09-08 10:15:00,2025-09-08 10:15:59
183.94,183.96,183.96,183.9,102822.09999999999,559,2025-09-08 10:16:00,2025-09-08 10:16:59
183.96,183.9,183.96,183.9,1451440.36,7890,2025-09-08 10:17:00,2025-09-08 10:17:59
183.94,183.92,183.94,183.9,257330.65999999997,1399,2025-09-08 10:18:00,2025-09-08 10:18:59
183.92,183.9,183.92,183.9,300860.50000000006,1636,2025-09-08 10:19:00,2025-09-08 10:19:59
183.88,183.9,183.9,183.88,2390.58,13,2025-09-08 10:20:00,2025-09-08 10:20:59
183.9,183.82,183.92,183.82,12873.880000000001,70,2025-09-08 10:21:00,2025-09-08 10:21:59
183.92,183.92,183.92,183.92,1839.1999999999998,10,2025-09-08 10:22:00,2025-09-08 10:22:59
183.82,183.92,183.92,183.82,21330.440000000002,116,2025-09-08 10:23:00,2025-09-08 10:23:59
183.92,183.9,183.92,183.9,9930.96,54,2025-09-08 10:24:00,2025-09-08 10:24:59
183.9,183.9,183.9,183.9,276033.9,1501,2025-09-08 10:25:00,2025-09-08 10:25:59
183.84,183.9,183.9,183.84,82018.79999999999,446,2025-09-08 10:26:00,2025-09-08 10:26:59
183.84,183.82,183.84,183.82,157172.12,855,2025-09-08 10:27:00,2025-09-08 10:27:59
183.84,183.84,183.84,183.84,4779.84,26,2025-09-08 10:28:00,2025-09-08 10:28:59
183.82,183.9,183.9,183.82,445353.42000000004,2422,2025-09-08 10:29:00,2025-09-08 10:29:59
183.9,183.9,183.9,183.82,15079.24,82,2025-09-08 10:30:00,2025-09-08 10:30:59
183.9,183.82,183.9,183.82,11948.7,65,2025-09-08 10:31:00,2025-09-08 10:31:59
183.9,183.9,183.9,183.82,44127.280000000006,240,2025-09-08 10:32:00,2025-09-08 10:32:59
183.9,183.84,183.9,183.82,19858.9,108,2025-09-08 10:33:00,2025-09-08 10:33:59
183.9,183.9,183.9,183.86,117328.16,638,2025-09-08 10:34:00,2025-09-08 10:34:59
183.88,183.86,183.88,183.82,938595.0000000001,5105,2025-09-08 10:35:00,2025-09-08 10:35:59
183.86,183.84,183.86,183.82,55157.6,300,2025-09-08 10:36:00,2025-09-08 10:36:59
183.84,183.84,183.84,183.84,149645.75999999995,814,2025-09-08 10:37:00,2025-09-08 10:37:59
183.84,183.84,183.84,183.84,41180.159999999996,224,2025-09-08 10:38:00,2025-09-08 10:38:59
183.82,183.84,183.86,183.82,156821.26,853,2025-09-08 10:39:00,2025-09-08 10:39:59
183.84,183.84,183.84,183.84,1103.04,6,2025-09-08 10:40:00,2025-09-08 10:40:59
183.84,183.84,183.84,183.84,100376.64,546,2025-09-08 10:41:00,2025-09-08 10:41:59
183.84,183.86,183.86,183.82,72064.74,392,2025-09-08 10:42:00,2025-09-08 10:42:59
183.86,183.84,183.86,183.82,515487.39999999997,2804,2025-09-08 10:43:00,2025-09-08 10:43:59
183.84,183.84,183.84,183.82,18198.78,99,2025-09-08 10:44:00,2025-09-08 10:44:59
183.82,183.82,183.82,183.82,315618.94,1717,2025-09-08 10:45:00,2025-09-08 10:45:59
183.84,183.84,183.84,183.84,4412.16,24,2025-09-08 10:46:00,2025-09-08 10:46:59
183.84,183.84,183.84,183.82,129961.56,707,2025-09-08 10:47:00,2025-09-08 10:47:59
183.84,183.84,183.84,183.84,18016.32,98,2025-09-08 10:48:00,2025-09-08 10:48:59
183.84,183.82,183.84,183.82,125183.08000000002,681,2025-09-08 10:49:00,2025-09-08 10:49:59
183.84,183.84,183.84,183.84,735.36,4,2025-09-08 10:50:00,2025-09-08 10:50:59
183.82,183.84,183.84,183.82,25002.18,136,2025-09-08 10:51:00,2025-09-08 10:51:59
183.84,183.82,183.86,183.82,56988.979999999996,310,2025-09-08 10:52:00,2025-09-08 10:52:59
183.82,183.84,183.84,183.82,8272.78,45,2025-09-08 10:53:00,2025-09-08 10:53:59
183.82,183.84,183.84,183.82,34925.97999999999,190,2025-09-08 10:54:00,2025-09-08 10:54:59
183.84,183.82,183.84,183.82,1069097.16,5816,2025-09-08 10:55:00,2025-09-08 10:55:59
183.8,183.82,183.82,183.8,275545.62,1499,2025-09-08 10:56:00,2025-09-08 10:56:59
183.82,183.82,183.82,183.8,114697.64000000001,624,2025-09-08 10:57:00,2025-09-08 10:57:59
183.82,183.78,183.82,183.78,34918.479999999996,190,2025-09-08 10:58:00,2025-09-08 10:58:59
183.76,183.76,183.82,183.76,21506.52,117,2025-09-08 10:59:00,2025-09-08 10:59:59
183.7,183.7,183.7,183.7,42618.399999999994,232,2025-09-09 09:59:00,2025-09-09 09:59:59
183.7,183.72,183.76,183.44,276212.83999999997,1504,2025-09-09 10:00:00,2025-09-09 10:00:59
183.72,183.68,183.86,183.64,378107.49999999994,2057,2025-09-09 10:01:00,2025-09-09 10:01:59
183.86,183.74,183.86,183.74,4596.38,25,2025-09-09 10:02:00,2025-09-09 10:02:59
183.86,183.86,183.86,183.86,9376.86,51,2025-09-09 10:03:00,2025-09-09 10:03:59
183.76,183.76,183.76,183.76,10106.8,55,2025-09-09 10:04:00,2025-09-09 10:04:59
183.9,183.76,183.9,183.76,57150.479999999996,311,2025-09-09 10:05:00,2025-09-09 10:05:59
183.76,183.72,183.86,183.72,460129.3,2504,2025-09-09 10:06:00,2025-09-09 10:06:59
183.86,183.96,183.98,183.72,2831322.9600000014,15391,2025-09-09 10:07:00,2025-09-09 10:07:59
183.96,183.96,183.96,183.76,261406.58,1421,2025-09-09 10:08:00,2025-09-09 10:08:59
183.96,183.94,183.96,183.76,133541.19999999998,726,2025-09-09 10:09:00,2025-09-09 10:09:59
183.78,183.94,183.96,183.78,3862.6800000000003,21,2025-09-09 10:10:00,2025-09-09 10:10:59
183.94,183.8,183.96,183.8,98029.54000000002,533,2025-09-09 10:11:00,2025-09-09 10:11:59
183.86,183.88,183.96,183.86,88473.80000000002,481,2025-09-09 10:12:00,2025-09-09 10:12:59
183.88,183.88,183.88,183.88,367.76,2,2025-09-09 10:13:00,2025-09-09 10:13:59
183.88,183.82,183.96,183.82,210559.58,1145,2025-09-09 10:14:00,2025-09-09 10:14:59
183.82,183.82,183.9,183.82,2206.0800000000004,12,2025-09-09 10:15:00,2025-09-09 10:15:59
183.9,183.92,183.92,183.82,8092.04,44,2025-09-09 10:16:00,2025-09-09 10:16:59
183.84,183.84,183.84,183.84,367.68,2,2025-09-09 10:17:00,2025-09-09 10:17:59
183.84,183.92,183.92,183.84,41379.119999999995,225,2025-09-09 10:18:00,2025-09-09 10:18:59
183.94,183.92,183.94,183.92,33108.2,180,2025-09-09 10:20:00,2025-09-09 10:20:59
183.92,183.92,183.92,183.92,1471.3600000000001,8,2025-09-09 10:21:00,2025-09-09 10:21:59
