TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-01-03,32.83,33.95,30.5,30.85,0.0
2022-01-04,31.81,31.81,30.19,30.42,0.0
2022-01-05,31.08,32.72,30.77,32.25,0.0
2022-01-06,32.75,38.55,32.26,37.37,0.0
2022-01-07,37.16,37.25,32.5,32.54,0.0
2022-01-10,33.1,34.62,32.31,34.54,0.0
2022-01-11,35.18,35.68,33.31,33.43,0.0
2022-01-12,33.52,33.78,31.48,31.83,0.0
2022-01-13,32.95,37.8,32.1,36.88,0.0
2022-01-14,36.53,46.11,34.6,42.78,0.0
2022-01-17,43.25,51.64,42.12,49.68,0.0
2022-01-18,50.01,60.53,47.7,59.09,0.0
2022-01-19,63.94,65.22,54.06,56.67,0.0
2022-01-20,56.77,57.37,50.48,53.85,0.0
2022-01-21,54.0,56.89,51.68,55.18,0.0
2022-01-24,55.47,69.25,54.26,68.34,0.0
2022-01-25,69.12,72.59,61.87,65.67,0.0
2022-01-26,66.2,66.54,60.36,62.97,0.0
2022-01-27,63.07,67.56,50.65,54.24,0.0
2022-01-28,55.13,55.44,51.15,54.73,0.0
2022-01-31,55.11,55.33,49.55,49.58,0.0
2022-02-01,50.07,50.19,47.01,48.46,0.0
2022-02-02,48.54,49.34,44.49,46.8,0.0
2022-02-03,47.23,51.83,46.89,49.19,0.0
2022-02-04,49.73,51.5,46.26,48.5,0.0
2022-02-07,48.48,50.16,47.64,49.98,0.0
2022-02-08,50.15,51.11,46.25,46.27,0.0
2022-02-09,46.27,46.29,42.18,42.4,0.0
2022-02-10,43.1,45.83,41.37,42.1,0.0
2022-02-11,42.4,46.11,39.19,45.04,0.0
2022-02-14,46.26,64.88,45.81,61.6,0.0
2022-02-15,60.99,66.54,50.85,53.02,0.0
2022-02-16,52.12,52.73,46.06,47.87,0.0
2022-02-17,47.89,60.75,47.29,60.22,0.0
2022-02-18,59.04,68.05,55.05,67.13,0.0
2022-02-21,67.66,95.88,65.1,92.08,0.0
2022-02-22,93.5,103.53,76.55,78.78,0.0
2022-02-23,79.86,89.54,74.15,87.59,0.0
2022-02-24,86.97,138.55,83.86,128.7,0.0
2022-02-25,127.88,138.61,109.96,117.33,0.0
2022-03-09,117.5,117.52,117.41,117.41,0.0
2022-03-10,130.19,130.19,129.79,129.82,0.0
2022-03-11,129.22,129.22,128.84,128.85,0.0
2022-03-24,118.38,148.47,113.85,133.33,0.0
2022-03-25,129.43,169.96,110.25,142.66,0.0
2022-03-28,140.74,143.03,119.13,119.13,0.0
2022-03-29,121.62,121.62,99.35,104.38,0.0
2022-03-30,103.17,107.31,95.11,95.11,0.0
2022-03-31,96.69,96.74,90.79,92.94,0.0
2022-04-01,93.94,97.73,90.55,97.03,0.0
2022-04-04,96.25,102.23,95.16,95.91,0.0
2022-04-05,96.06,99.49,90.14,95.52,0.0
2022-04-06,97.02,103.8,92.67,98.0,0.0
2022-04-07,97.77,98.04,89.54,91.0,0.0
2022-04-08,90.24,97.36,76.64,94.34,0.0
2022-04-11,105.09,116.25,84.33,109.11,0.0
2022-04-12,109.93,113.79,89.39,91.37,0.0
2022-04-13,90.01,91.6,81.17,83.94,0.0
2022-04-14,87.96,93.97,80.37,92.1,0.0
2022-04-15,96.53,104.09,75.11,94.07,0.0
2022-04-18,93.78,93.81,79.86,84.16,0.0
2022-04-19,80.36,93.27,79.28,86.15,0.0
2022-04-20,87.38,92.14,84.41,90.99,0.0
2022-04-21,93.09,93.17,81.09,87.75,0.0
2022-04-22,84.29,85.01,76.92,82.53,0.0
2022-04-25,89.87,90.01,77.02,77.53,0.0
2022-04-26,79.02,79.28,70.92,73.61,0.0
2022-04-27,75.8,78.44,71.33,71.33,0.0
2022-04-28,71.66,76.6,70.9,74.51,0.0
2022-04-29,75.09,75.09,70.37,70.44,0.0
2022-05-04,72.11,76.98,70.91,73.2,0.0
2022-05-05,72.48,77.17,71.35,75.2,0.0
2022-05-06,74.61,77.24,73.33,74.02,0.0
