date,signal
2022-12-13,GOLD
2022-12-14,GOLD
2022-12-15,GOLD
2022-12-16,LQDT
2022-12-19,GOLD
2022-12-20,GOLD
2022-12-21,GOLD
2022-12-22,OBLG
2022-12-23,OBLG
2022-12-26,GOLD
2022-12-27,GOLD
2022-12-28,GOLD
2022-12-29,GOLD
2022-12-30,EQMX
2023-01-03,EQMX
2023-01-04,GOLD
2023-01-05,GOLD
2023-01-06,GOLD
2023-01-09,EQMX
2023-01-10,LQDT
2023-01-11,EQMX
2023-01-12,EQMX
2023-01-13,GOLD
2023-01-16,EQMX
2023-01-17,GOLD
2023-01-18,GOLD
2023-01-19,GOLD
2023-01-20,GOLD
2023-01-23,EQMX
2023-01-24,EQMX
2023-01-25,GOLD
2023-01-26,GOLD
2023-01-27,EQMX
2023-01-30,EQMX
2023-01-31,EQMX
2023-02-01,EQMX
2023-02-02,GOLD
2023-02-03,OBLG
2023-02-06,EQMX
2023-02-07,EQMX
2023-02-08,GOLD
2023-02-09,GOLD
2023-02-10,GOLD
2023-02-13,GOLD
2023-02-14,GOLD
2023-02-15,LQDT
2023-02-16,LQDT
2023-02-17,EQMX
2023-02-20,EQMX
2023-02-21,EQMX
2023-02-22,EQMX
2023-02-24,OBLG
2023-02-27,EQMX
2023-02-28,EQMX
2023-03-01,EQMX
2023-03-02,GOLD
2023-03-03,GOLD
2023-03-06,EQMX
2023-03-07,EQMX
2023-03-09,LQDT
2023-03-10,GOLD
2023-03-13,GOLD
2023-03-14,GOLD
2023-03-15,GOLD
2023-03-16,GOLD
2023-03-17,GOLD
2023-03-20,EQMX
2023-03-21,EQMX
2023-03-22,LQDT
2023-03-23,GOLD
2023-03-24,EQMX
2023-03-27,EQMX
2023-03-28,EQMX
2023-03-29,EQMX
2023-03-30,EQMX
2023-03-31,GOLD
2023-04-03,GOLD
2023-04-04,GOLD
2023-04-05,GOLD
2023-04-06,GOLD
2023-04-07,GOLD
2023-04-10,EQMX
2023-04-11,EQMX
2023-04-12,GOLD
2023-04-13,GOLD
2023-04-14,EQMX
2023-04-17,EQMX
2023-04-18,EQMX
2023-04-19,LQDT
